filename,time_s,peak_memory_mb
img_0.npy,2.11,142.71
img_1.npy,1.64,139.33
img_10.npy,2.00,151.13
img_100.npy,1.93,145.46
img_101.npy,1.97,141.79
img_102.npy,1.91,146.48
img_103.npy,2.00,149.99
img_104.npy,1.87,139.38
img_105.npy,1.95,149.40
img_106.npy,1.80,149.37
img_107.npy,1.99,140.41
img_108.npy,2.01,148.43
img_109.npy,2.08,140.33
img_11.npy,1.65,145.80
img_110.npy,1.82,146.10
img_111.npy,1.94,146.38
img_112.npy,1.81,143.73
img_113.npy,1.87,147.77
img_114.npy,1.85,152.73
img_115.npy,1.97,139.29
img_116.npy,1.79,155.30
img_117.npy,1.84,144.88
img_118.npy,1.53,148.28
img_119.npy,2.01,149.88
img_12.npy,1.97,145.34
img_120.npy,1.74,143.76
img_121.npy,1.83,143.69
img_122.npy,1.70,140.40
img_123.npy,1.81,147.38
img_124.npy,1.71,146.17
img_125.npy,1.89,154.52
img_126.npy,1.95,150.55
img_127.npy,1.59,135.28
img_128.npy,1.94,149.15
img_129.npy,1.81,149.04
img_13.npy,1.79,148.00
img_130.npy,1.82,149.29
img_131.npy,1.81,146.74
img_132.npy,1.83,137.47
img_133.npy,1.83,146.66
img_134.npy,1.84,150.93
img_135.npy,1.60,149.59
img_136.npy,1.74,146.46
img_137.npy,1.66,146.86
img_138.npy,1.93,150.84
img_139.npy,2.08,150.95
img_14.npy,1.83,149.12
img_140.npy,1.72,152.01
img_141.npy,1.75,146.23
img_142.npy,1.90,146.28
img_143.npy,1.68,141.01
img_144.npy,1.60,141.16
img_145.npy,1.88,144.66
img_146.npy,1.86,151.23
img_147.npy,2.15,150.04
img_148.npy,1.68,148.10
img_149.npy,1.78,140.57
img_15.npy,1.69,147.47
img_150.npy,1.79,143.90
img_151.npy,1.83,148.08
img_152.npy,1.89,143.80
img_153.npy,1.86,148.80
img_154.npy,1.92,141.21
img_155.npy,1.65,142.64
img_156.npy,1.84,145.24
img_157.npy,1.86,141.08
img_158.npy,1.92,146.11
img_159.npy,1.82,147.23
img_16.npy,1.74,146.95
img_160.npy,1.66,138.41
img_161.npy,1.70,150.89
img_162.npy,1.93,156.36
img_163.npy,1.77,151.00
img_164.npy,2.06,153.93
img_165.npy,1.83,145.68
img_166.npy,1.86,153.47
img_167.npy,1.70,138.68
img_168.npy,1.72,146.64
img_169.npy,1.66,143.41
img_17.npy,1.78,148.47
img_170.npy,1.82,150.39
img_171.npy,1.78,149.30
img_172.npy,1.97,151.47
img_173.npy,1.84,150.56
img_174.npy,1.87,140.03
img_175.npy,1.70,147.03
img_176.npy,1.88,149.20
img_177.npy,1.74,142.07
img_178.npy,1.75,147.61
img_179.npy,1.94,142.38
img_18.npy,1.78,149.42
img_180.npy,1.79,147.79
img_181.npy,1.70,149.93
img_182.npy,1.76,141.41
img_183.npy,1.89,141.21
img_184.npy,1.92,149.42
img_185.npy,1.83,146.88
img_186.npy,2.08,150.22
img_187.npy,1.97,146.63
img_188.npy,1.79,148.95
img_189.npy,1.79,147.35
img_19.npy,1.78,150.48
img_190.npy,1.90,153.80
img_191.npy,1.73,143.11
img_192.npy,1.85,166.46
img_193.npy,1.61,142.80
img_194.npy,1.80,148.62
img_195.npy,1.89,156.47
img_196.npy,1.70,146.41
img_197.npy,2.02,150.98
img_198.npy,1.81,152.18
img_199.npy,1.69,149.14
img_2.npy,1.78,144.56
img_20.npy,1.63,140.65
img_200.npy,1.84,152.20
img_201.npy,1.69,143.38
img_202.npy,1.62,146.75
img_203.npy,1.68,148.09
img_204.npy,1.66,139.19
img_205.npy,1.89,145.10
img_206.npy,2.01,149.04
img_207.npy,1.85,147.92
img_208.npy,1.69,148.28
img_209.npy,1.98,150.96
img_21.npy,1.89,142.99
img_210.npy,1.67,145.23
img_211.npy,1.82,145.19
img_212.npy,2.04,146.14
img_213.npy,1.61,151.21
img_214.npy,1.71,139.75
img_215.npy,1.90,148.66
img_216.npy,1.84,145.07
img_217.npy,1.82,139.24
img_218.npy,1.80,146.18
img_219.npy,1.58,144.07
