filename,time_s,peak_memory_mb
img_0.npy,1.30,29.07
img_1.npy,1.03,29.28
img_10.npy,0.68,29.53
img_100.npy,0.74,27.55
img_1000.npy,1.06,28.74
img_1001.npy,0.86,27.63
img_1002.npy,1.08,29.25
img_1003.npy,0.92,28.51
img_1004.npy,1.00,28.22
img_1005.npy,0.91,24.82
img_1006.npy,1.00,29.69
img_1007.npy,0.94,28.84
img_1008.npy,0.95,27.98
img_1009.npy,0.95,28.94
img_101.npy,1.08,29.39
img_1010.npy,1.02,27.85
img_1011.npy,0.86,27.60
img_1012.npy,1.03,26.64
img_1013.npy,0.88,27.82
img_1014.npy,0.97,27.95
img_1015.npy,1.10,29.00
img_1016.npy,0.80,26.61
img_1017.npy,1.04,28.04
img_1018.npy,1.10,26.58
img_1019.npy,1.18,28.68
img_102.npy,0.81,25.75
img_1020.npy,0.85,26.31
img_1021.npy,1.01,28.75
img_1022.npy,0.82,26.18
img_1023.npy,0.99,26.21
img_1024.npy,0.90,26.88
img_1025.npy,1.04,26.35
img_1026.npy,0.95,28.66
img_1027.npy,0.82,26.42
img_1028.npy,0.99,27.73
img_1029.npy,0.89,29.09
img_103.npy,0.92,29.02
img_1030.npy,0.85,28.00
img_1031.npy,0.99,25.60
img_1032.npy,0.85,26.70
img_1033.npy,0.79,27.69
img_1034.npy,0.92,28.14
img_1035.npy,0.95,28.34
img_1036.npy,1.12,27.69
img_1037.npy,0.88,29.81
img_1038.npy,0.79,27.98
img_1039.npy,0.94,26.48
img_104.npy,0.90,27.88
img_1040.npy,0.92,29.35
img_1041.npy,0.88,28.71
img_1042.npy,0.88,26.86
img_1043.npy,0.92,26.25
img_1044.npy,0.90,28.41
img_1045.npy,1.01,27.84
img_1046.npy,0.81,26.64
img_1047.npy,0.97,28.62
img_1048.npy,0.81,28.03
img_1049.npy,0.88,27.72
img_105.npy,0.80,27.00
img_1050.npy,0.86,27.69
img_1051.npy,0.90,29.59
img_1052.npy,0.83,25.00
img_1053.npy,1.01,26.91
img_1054.npy,0.87,26.37
img_1055.npy,1.00,27.71
img_1056.npy,1.15,26.23
img_1057.npy,1.06,26.48
img_1058.npy,0.98,27.45
img_1059.npy,0.82,28.05
img_106.npy,1.00,26.40
img_1060.npy,0.80,28.40
img_1061.npy,0.91,29.34
img_1062.npy,0.88,27.79
img_1063.npy,0.94,26.70
img_1064.npy,1.06,29.40
img_1065.npy,0.92,27.26
img_1066.npy,0.85,28.32
img_1067.npy,0.80,28.80
img_1068.npy,0.85,26.57
img_1069.npy,0.94,25.67
img_107.npy,0.99,28.94
img_1070.npy,0.77,27.99
img_1071.npy,1.00,27.51
img_1072.npy,0.93,26.88
img_1073.npy,0.85,28.99
img_1074.npy,0.81,28.21
img_1075.npy,1.03,29.45
img_1076.npy,1.06,28.22
img_1077.npy,0.92,25.05
img_1078.npy,0.97,27.96
img_1079.npy,0.81,28.39
img_108.npy,1.03,28.12
img_1080.npy,1.10,27.04
img_1081.npy,0.81,28.05
img_1082.npy,1.16,26.55
img_1083.npy,0.73,26.80
img_1084.npy,0.86,27.91
img_1085.npy,1.07,27.89
img_1086.npy,0.86,26.85
img_1087.npy,0.90,26.13
img_1088.npy,0.94,29.15
img_1089.npy,0.83,29.00
img_109.npy,0.97,28.49
img_1090.npy,0.88,28.61
img_1091.npy,0.95,26.51
img_1092.npy,0.89,27.94
img_1093.npy,0.96,28.79
img_1094.npy,0.94,25.98
img_1095.npy,0.94,28.02
img_1096.npy,0.78,26.65
img_1097.npy,0.81,25.80
img_1098.npy,0.85,29.53
img_1099.npy,0.85,26.26
img_11.npy,0.83,28.57
img_110.npy,0.85,27.94
img_1100.npy,0.95,26.15
img_1101.npy,1.05,26.50
img_1102.npy,1.13,26.40
img_1103.npy,0.98,28.27
img_1104.npy,0.83,27.86
img_1105.npy,0.75,28.34
img_1106.npy,0.96,25.64
img_1107.npy,1.03,27.75
img_1108.npy,0.93,28.43
img_1109.npy,0.82,26.29
img_111.npy,0.83,28.49
img_1110.npy,0.88,28.07
img_1111.npy,0.78,26.55
img_1112.npy,1.07,26.16
img_1113.npy,0.91,27.25
img_1114.npy,0.96,27.12
img_1115.npy,0.91,26.38
img_1116.npy,0.97,25.91
img_1117.npy,1.00,28.28
img_1118.npy,0.93,29.24
img_1119.npy,0.93,28.60
img_112.npy,0.83,28.02
img_1120.npy,0.85,26.50
img_1121.npy,1.11,26.83
img_1122.npy,0.91,26.38
img_1123.npy,1.02,27.51
img_1124.npy,0.90,28.66
img_1125.npy,0.88,28.18
img_1126.npy,0.88,26.68
img_1127.npy,0.94,29.14
img_1128.npy,0.81,25.78
img_1129.npy,1.01,28.16
img_113.npy,0.91,26.59
img_1130.npy,0.94,27.93
img_1131.npy,0.78,28.26
img_1132.npy,0.88,28.61
img_1133.npy,0.73,28.15
img_1134.npy,0.97,27.43
img_1135.npy,0.82,28.84
img_1136.npy,1.02,26.79
img_1137.npy,0.86,25.16
img_1138.npy,0.97,29.65
img_1139.npy,0.91,28.02
img_114.npy,0.87,28.12
img_1140.npy,0.84,29.63
img_1141.npy,0.72,30.46
img_1142.npy,0.84,28.31
img_1143.npy,0.68,25.38
img_1144.npy,0.98,26.68
img_1145.npy,1.01,24.35
img_1146.npy,0.97,27.99
img_1147.npy,0.94,25.26
img_1148.npy,0.97,28.63
img_1149.npy,0.88,27.86
img_115.npy,0.74,28.18
img_1150.npy,0.87,26.40
img_1151.npy,0.92,28.27
img_1152.npy,0.85,26.86
img_1153.npy,0.95,26.64
img_1154.npy,0.75,27.22
img_1155.npy,0.91,28.34
img_1156.npy,0.91,25.29
img_1157.npy,1.14,28.50
img_1158.npy,0.77,27.99
img_1159.npy,0.89,26.25
img_116.npy,0.90,24.98
img_1160.npy,0.81,28.01
img_1161.npy,0.95,29.23
img_1162.npy,0.78,28.83
img_1163.npy,0.74,26.25
img_1164.npy,0.96,29.17
img_1165.npy,0.76,26.52
img_1166.npy,0.86,28.48
img_1167.npy,0.81,26.04
img_1168.npy,0.86,26.27
img_1169.npy,1.07,29.59
img_117.npy,0.98,26.60
img_1170.npy,0.96,26.93
img_1171.npy,0.82,29.39
img_1172.npy,0.75,28.29
img_1173.npy,0.96,26.21
img_1174.npy,1.00,29.13
img_1175.npy,0.96,27.82
img_1176.npy,0.88,27.61
img_1177.npy,0.80,26.54
img_1178.npy,1.04,26.92
img_1179.npy,0.99,26.20
img_118.npy,1.01,26.47
img_1180.npy,0.90,25.21
img_1181.npy,1.08,29.23
img_1182.npy,0.84,26.48
img_1183.npy,0.92,26.82
