filename,time_s,peak_memory_mb
img_0.npy,9.18,2058.02
img_1.npy,9.14,2017.84
img_10.npy,16.12,2026.31
img_11.npy,16.45,2209.70
img_12.npy,16.89,2202.77
img_13.npy,24.13,2290.25
img_14.npy,11.03,2014.09
img_15.npy,12.17,2014.04
img_16.npy,14.07,2050.68
img_17.npy,16.58,2014.38
img_18.npy,12.43,2017.86
img_19.npy,12.22,2018.00
img_2.npy,15.86,2017.93
img_20.npy,11.96,2008.59
img_21.npy,31.32,2935.67
img_22.npy,37.34,3265.25
img_23.npy,10.26,2019.85
img_24.npy,15.68,2212.45
img_25.npy,20.93,2294.15
img_26.npy,7.77,2018.20
img_27.npy,8.81,2008.55
img_28.npy,11.47,2050.84
img_29.npy,8.59,2014.40
img_3.npy,10.38,2013.99
img_4.npy,9.36,2014.35
img_5.npy,30.29,2935.40
img_6.npy,30.84,3265.18
img_7.npy,8.01,2053.77
img_8.npy,6.14,2008.71
img_9.npy,13.93,2203.14
