filename,time_s,peak_memory_mb
img_0.npy,0.69,24.69
img_1.npy,0.63,23.79
img_10.npy,0.67,22.95
img_100.npy,0.77,21.91
img_1000.npy,0.80,23.12
img_10000.npy,0.76,23.32
img_10001.npy,0.68,21.20
img_10002.npy,0.74,21.44
img_10003.npy,0.78,21.11
img_10004.npy,0.62,22.11
img_10005.npy,0.74,22.89
img_10006.npy,0.73,21.24
img_10007.npy,0.68,21.78
img_10008.npy,0.62,22.00
img_10009.npy,0.72,22.84
img_1001.npy,0.78,22.87
img_10010.npy,0.71,23.05
img_10011.npy,0.72,20.93
img_10012.npy,0.71,23.02
img_10013.npy,0.77,22.30
img_10014.npy,0.67,23.14
img_10015.npy,0.74,22.83
img_10016.npy,0.70,21.61
img_10017.npy,0.78,22.67
img_10018.npy,0.79,21.97
img_10019.npy,0.73,23.16
img_1002.npy,0.67,21.90
img_10020.npy,0.75,22.19
img_10021.npy,0.79,23.01
img_10022.npy,0.76,23.25
img_10023.npy,0.69,22.35
img_10024.npy,0.79,22.82
img_10025.npy,0.59,22.37
img_10026.npy,0.68,22.18
img_10027.npy,0.72,21.75
img_10028.npy,0.70,22.37
img_10029.npy,0.76,22.74
img_1003.npy,0.63,22.05
img_10030.npy,0.75,22.93
img_10031.npy,0.72,23.11
img_10032.npy,0.67,23.12
img_10033.npy,0.74,21.70
img_10034.npy,0.69,22.89
img_10035.npy,0.70,22.19
img_10036.npy,0.75,22.78
img_10037.npy,0.64,23.00
img_10038.npy,0.71,23.14
img_10039.npy,0.76,21.55
img_1004.npy,0.73,22.81
img_10040.npy,0.65,22.18
img_10041.npy,0.64,22.91
img_10042.npy,0.65,23.27
img_10043.npy,0.69,23.14
img_10044.npy,0.63,21.55
img_10045.npy,0.73,21.84
img_10046.npy,0.79,22.46
img_10047.npy,0.64,20.86
img_10048.npy,0.78,20.29
img_10049.npy,0.67,20.64
img_1005.npy,0.61,21.77
img_10050.npy,0.71,21.89
img_10051.npy,0.59,22.43
img_10052.npy,0.72,21.29
img_10053.npy,0.63,22.24
img_10054.npy,0.75,23.12
img_10055.npy,0.66,23.17
img_10056.npy,0.70,22.07
img_10057.npy,0.73,21.31
img_10058.npy,0.72,22.41
img_10059.npy,0.68,21.11
img_1006.npy,0.60,23.18
img_10060.npy,0.66,23.39
img_10061.npy,0.70,21.30
img_10062.npy,0.73,22.53
img_10063.npy,0.74,22.46
img_10064.npy,0.72,21.89
img_10065.npy,0.67,21.86
img_10066.npy,0.69,22.37
img_10067.npy,0.68,21.85
img_10068.npy,0.68,21.84
img_10069.npy,0.74,23.35
img_1007.npy,0.66,22.00
img_10070.npy,0.76,23.29
img_10071.npy,0.63,21.66
img_10072.npy,0.72,22.75
img_10073.npy,0.74,23.13
img_10074.npy,0.71,22.94
img_10075.npy,0.73,23.30
img_10076.npy,0.77,22.84
