filename,time_s,peak_memory_mb
img_0.npy,13.74,124.95
img_1.npy,17.34,116.69
img_10.npy,18.36,114.90
img_100.npy,17.80,114.44
img_1000.npy,17.53,113.00
img_10000.npy,17.32,113.98
img_10001.npy,17.47,121.85
img_10002.npy,17.17,116.91
img_10003.npy,18.47,120.48
img_10004.npy,18.05,127.73
img_10005.npy,17.51,129.19
img_10006.npy,14.28,134.09
img_10007.npy,13.98,118.83
img_10008.npy,13.42,117.09
img_10009.npy,14.20,115.32
img_1001.npy,14.56,115.34
img_10010.npy,14.80,114.09
img_10011.npy,14.61,115.25
img_10012.npy,14.66,115.39
img_10013.npy,14.48,114.15
img_10014.npy,14.71,122.18
img_10015.npy,14.24,115.26
img_10016.npy,14.88,113.37
img_10017.npy,15.36,119.39
img_10018.npy,14.83,113.40
img_10019.npy,15.28,111.47
img_1002.npy,14.08,113.36
img_10020.npy,15.21,110.66
img_10021.npy,14.26,112.84
img_10022.npy,14.70,112.17
img_10023.npy,15.05,114.66
img_10024.npy,15.34,116.56
img_10025.npy,14.28,117.72
img_10026.npy,10.87,113.03
img_10027.npy,11.38,115.95
img_10028.npy,10.81,114.61
img_10029.npy,11.01,114.05
img_1003.npy,11.20,115.38
img_10030.npy,10.91,113.67
img_10031.npy,11.29,115.96
img_10032.npy,11.62,115.29
img_10033.npy,11.38,118.79
img_10034.npy,10.39,135.46
img_10035.npy,10.19,131.38
img_10036.npy,10.43,126.92
img_10037.npy,10.74,132.06
img_10038.npy,10.32,127.06
img_10039.npy,10.38,121.32
img_1004.npy,10.79,132.50
img_10040.npy,11.04,126.73
img_10041.npy,10.94,134.51
img_10042.npy,10.89,120.26
img_10043.npy,10.94,120.54
img_10044.npy,10.80,127.87
img_10045.npy,11.09,119.51
img_10046.npy,10.39,133.62
img_10047.npy,10.56,133.16
img_10048.npy,10.38,128.23
img_10049.npy,10.57,133.02
img_1005.npy,11.02,125.49
img_10050.npy,10.69,131.46
img_10051.npy,10.79,129.08
img_10052.npy,10.69,128.98
img_10053.npy,11.19,124.11
img_10054.npy,10.58,131.59
img_10055.npy,11.13,124.12
img_10056.npy,10.89,130.60
img_10057.npy,10.56,123.40
img_10058.npy,10.57,129.54
img_10059.npy,10.96,131.19
img_1006.npy,10.60,128.32
img_10060.npy,10.58,131.30
img_10061.npy,10.63,133.72
img_10062.npy,10.30,126.29
img_10063.npy,10.35,124.72
img_10064.npy,10.66,129.70
img_10065.npy,11.09,133.68
img_10066.npy,10.57,134.06
img_10067.npy,10.23,120.14
img_10068.npy,10.84,126.52
img_10069.npy,10.94,129.70
img_1007.npy,10.64,125.93
img_10070.npy,10.99,133.83
img_10071.npy,10.68,126.09
img_10072.npy,10.90,130.93
img_10073.npy,10.80,121.36
img_10074.npy,10.80,118.04
img_10075.npy,11.29,118.31
img_10076.npy,10.89,125.07
img_10077.npy,11.03,131.77
img_10078.npy,10.57,126.79
img_10079.npy,10.86,132.83
img_1008.npy,10.42,122.37
img_10080.npy,11.22,125.73
img_10081.npy,10.66,129.52
img_10082.npy,10.38,121.17
img_10083.npy,10.52,123.90
img_10084.npy,10.06,125.05
img_10085.npy,10.79,123.19
img_10086.npy,11.16,131.37
img_10087.npy,10.44,122.95
img_10088.npy,11.49,138.01
img_10089.npy,10.79,138.26
img_1009.npy,10.82,128.69
img_10090.npy,10.74,128.24
img_10091.npy,11.12,133.84
img_10092.npy,10.58,123.38
img_10093.npy,11.14,130.86
img_10094.npy,10.17,133.28
img_10095.npy,11.33,123.56
img_10096.npy,11.50,130.11
img_10097.npy,10.71,135.75
img_10098.npy,10.96,123.19
img_10099.npy,11.08,129.15
img_101.npy,10.54,127.09
img_1010.npy,10.87,128.98
img_10100.npy,10.84,124.36
img_10101.npy,11.14,127.43
img_10102.npy,10.53,131.12
img_10103.npy,11.42,129.73
img_10104.npy,10.88,135.57
img_10105.npy,10.58,122.76
img_10106.npy,10.97,121.07
img_10107.npy,10.75,126.04
img_10108.npy,10.64,125.51
img_10109.npy,11.03,134.61
img_1011.npy,10.55,127.90
img_10110.npy,10.79,126.25
img_10111.npy,10.68,126.45
img_10112.npy,10.65,126.41
img_10113.npy,10.23,123.00
img_10114.npy,10.88,130.99
img_10115.npy,11.08,115.02
img_10116.npy,10.79,137.17
img_10117.npy,10.35,132.00
img_10118.npy,10.83,122.23
img_10119.npy,11.08,132.74
img_1012.npy,10.67,124.15
img_10120.npy,10.34,121.82
img_10121.npy,10.29,120.54
img_10122.npy,10.84,124.52
img_10123.npy,10.70,130.32
img_10124.npy,10.53,130.59
img_10125.npy,10.75,125.29
img_10126.npy,10.97,130.35
img_10127.npy,10.74,119.74
img_10128.npy,11.04,121.38
img_10129.npy,10.65,122.46
img_1013.npy,11.00,118.22
img_10130.npy,10.52,118.77
img_10131.npy,10.78,123.86
img_10132.npy,10.53,119.46
img_10133.npy,10.70,122.04
img_10134.npy,10.75,129.48
img_10135.npy,10.60,119.05
img_10136.npy,10.41,124.77
img_10137.npy,10.56,130.41
img_10138.npy,10.76,132.10
img_10139.npy,10.46,123.07
img_1014.npy,10.96,117.29
img_10140.npy,11.24,117.18
img_10141.npy,10.98,117.17
