filename,time_s,peak_memory_mb
img_0.npy,13.82,144.34
img_1.npy,17.55,132.55
img_10.npy,18.11,131.55
img_100.npy,18.15,130.54
img_101.npy,17.22,135.39
img_102.npy,17.31,133.98
img_103.npy,17.40,140.77
img_104.npy,17.10,130.11
img_105.npy,18.23,144.37
img_106.npy,18.08,132.64
img_107.npy,17.66,147.11
img_108.npy,14.39,143.69
img_109.npy,14.56,159.65
img_11.npy,12.81,135.77
img_110.npy,14.39,134.06
img_111.npy,14.77,130.64
img_112.npy,14.62,130.27
img_113.npy,14.71,133.80
img_114.npy,14.58,132.43
img_115.npy,14.47,134.90
img_116.npy,14.52,134.97
img_117.npy,14.41,142.21
img_118.npy,15.09,142.04
img_119.npy,14.67,128.83
img_12.npy,15.27,129.60
img_120.npy,15.13,131.45
img_121.npy,13.84,128.89
img_122.npy,15.24,127.91
img_123.npy,14.35,130.77
img_124.npy,15.21,128.69
img_125.npy,14.92,135.07
img_126.npy,14.65,129.99
img_127.npy,14.29,127.74
img_128.npy,11.24,131.40
img_129.npy,11.62,137.07
img_13.npy,10.84,130.45
img_130.npy,10.82,131.49
img_131.npy,11.17,131.28
img_132.npy,10.83,129.19
img_133.npy,11.02,133.18
img_134.npy,11.10,136.30
img_135.npy,11.39,136.54
img_136.npy,10.83,136.60
img_137.npy,10.40,137.73
img_138.npy,10.84,160.79
img_139.npy,10.46,151.94
img_14.npy,10.19,148.11
img_140.npy,10.49,145.34
img_141.npy,10.36,146.96
img_142.npy,11.23,139.18
img_143.npy,10.97,138.16
img_144.npy,10.92,135.61
img_145.npy,10.96,137.16
img_146.npy,11.33,152.61
img_147.npy,10.96,154.88
img_148.npy,10.42,158.92
img_149.npy,10.47,147.11
img_15.npy,9.97,143.16
img_150.npy,10.91,138.87
img_151.npy,11.02,141.83
img_152.npy,10.46,149.19
img_153.npy,10.76,138.34
img_154.npy,11.28,151.22
img_155.npy,10.89,160.38
img_156.npy,11.07,152.80
img_157.npy,10.47,147.13
img_158.npy,11.06,142.12
img_159.npy,10.57,153.11
img_16.npy,10.53,142.23
img_160.npy,10.82,139.67
img_161.npy,10.68,150.61
img_162.npy,10.69,157.36
img_163.npy,10.43,150.93
img_164.npy,10.32,145.08
img_165.npy,10.67,148.11
img_166.npy,10.49,146.47
img_167.npy,10.78,135.55
img_168.npy,10.83,138.66
img_169.npy,10.79,147.80
img_17.npy,10.52,151.82
img_170.npy,10.73,148.07
img_171.npy,10.66,155.16
img_172.npy,10.76,144.54
img_173.npy,10.82,144.77
img_174.npy,10.71,140.14
img_175.npy,11.33,147.29
img_176.npy,10.97,141.31
img_177.npy,11.16,138.86
img_178.npy,10.69,144.16
img_179.npy,10.94,149.64
img_18.npy,10.53,148.65
img_180.npy,10.84,148.61
img_181.npy,10.49,155.59
img_182.npy,10.89,137.51
img_183.npy,10.95,144.33
img_184.npy,10.64,141.25
img_185.npy,10.08,155.79
img_186.npy,10.36,144.45
img_187.npy,10.86,149.83
img_188.npy,10.81,158.56
img_189.npy,10.35,148.31
img_19.npy,11.29,138.28
img_190.npy,11.26,143.78
img_191.npy,10.92,156.06
img_192.npy,10.80,151.23
img_193.npy,10.66,146.62
img_194.npy,10.32,140.46
img_195.npy,11.34,146.51
img_196.npy,10.52,146.30
img_197.npy,11.05,151.95
img_198.npy,11.37,136.50
img_199.npy,11.16,141.14
img_2.npy,10.49,146.10
img_20.npy,11.20,155.32
img_200.npy,10.66,145.69
img_201.npy,11.10,143.58
img_202.npy,10.70,150.30
img_203.npy,11.01,144.84
img_204.npy,10.66,143.11
img_205.npy,11.16,146.95
img_206.npy,11.20,154.57
img_207.npy,10.76,150.93
img_208.npy,10.89,146.42
img_209.npy,10.47,153.25
img_21.npy,10.77,152.36
img_210.npy,10.76,147.27
img_211.npy,10.72,145.24
img_212.npy,10.75,140.41
img_213.npy,10.64,152.28
img_214.npy,10.70,150.30
img_215.npy,10.43,161.72
img_216.npy,10.76,149.79
img_217.npy,10.67,146.48
img_218.npy,10.96,138.49
img_219.npy,10.68,143.02
img_22.npy,10.90,138.23
img_220.npy,10.69,141.35
img_221.npy,10.74,149.23
img_222.npy,10.19,139.62
img_223.npy,10.71,138.53
img_224.npy,10.62,144.98
img_225.npy,10.57,145.04
img_226.npy,11.05,145.82
img_227.npy,10.98,152.39
img_228.npy,10.43,150.44
img_229.npy,11.09,161.97
img_23.npy,10.70,155.68
img_230.npy,10.96,153.33
img_231.npy,11.07,152.32
img_232.npy,10.33,150.80
img_233.npy,10.55,159.16
img_234.npy,10.73,154.33
img_235.npy,10.69,149.29
img_236.npy,10.57,140.91
img_237.npy,10.78,139.98
img_238.npy,10.30,144.77
img_239.npy,10.51,148.47
img_24.npy,10.66,152.73
img_240.npy,10.66,149.26
img_241.npy,11.08,134.65
img_242.npy,11.34,133.61
img_243.npy,10.74,137.02
img_244.npy,10.80,136.29
img_245.npy,10.95,138.98
img_246.npy,10.65,152.81
img_247.npy,10.42,150.16
img_248.npy,10.58,156.56
img_249.npy,10.68,152.36
img_25.npy,10.43,137.78
img_250.npy,10.88,136.15
img_251.npy,11.15,136.31
img_252.npy,11.06,136.92
img_253.npy,10.60,142.77
img_254.npy,11.10,139.02
img_255.npy,11.14,142.18
img_256.npy,10.44,155.83
img_257.npy,10.87,148.27
img_258.npy,10.66,145.24
img_259.npy,10.58,151.02
img_26.npy,10.46,153.81
img_260.npy,10.59,159.73
img_261.npy,10.48,141.25
img_262.npy,10.78,159.96
img_263.npy,10.43,159.34
img_264.npy,9.94,161.05
img_265.npy,11.07,140.27
img_266.npy,10.90,151.19
img_267.npy,10.97,159.22
img_268.npy,10.03,152.10
img_269.npy,10.58,145.11
img_27.npy,10.49,140.23
img_270.npy,11.03,154.79
img_271.npy,10.55,144.08
img_272.npy,11.16,155.08
img_273.npy,10.78,150.41
img_274.npy,11.24,144.98
img_275.npy,11.09,136.11
img_276.npy,10.40,141.45
img_277.npy,10.52,145.48
img_278.npy,10.78,146.94
img_279.npy,10.63,148.16
img_28.npy,10.36,144.44
img_280.npy,10.77,144.25
img_281.npy,10.70,144.67
img_282.npy,10.99,154.42
img_283.npy,10.42,159.33
img_284.npy,11.11,148.00
img_285.npy,10.90,147.16
img_286.npy,10.44,154.39
img_287.npy,10.81,158.60
img_288.npy,10.60,159.57
img_289.npy,10.47,152.62
img_29.npy,10.67,149.44
img_290.npy,10.73,138.39
img_291.npy,10.99,141.02
img_292.npy,10.82,144.02
img_293.npy,10.57,144.37
img_294.npy,10.92,147.40
img_295.npy,10.90,148.53
img_296.npy,10.55,143.82
img_297.npy,11.09,146.68
img_298.npy,10.64,150.46
img_299.npy,10.44,143.63
img_3.npy,11.07,150.39
img_30.npy,10.46,145.28
img_300.npy,10.93,139.51
img_301.npy,11.02,139.37
img_302.npy,10.52,147.18
img_303.npy,10.34,143.75
img_304.npy,10.69,138.84
img_305.npy,11.23,157.84
img_306.npy,10.54,146.84
img_307.npy,10.67,149.05
img_308.npy,10.58,146.22
img_309.npy,10.69,160.23
img_31.npy,10.70,153.88
img_310.npy,11.31,154.27
img_311.npy,10.42,150.43
img_312.npy,10.86,147.29
img_313.npy,10.30,151.19
img_314.npy,10.93,138.93
img_315.npy,11.16,135.38
img_316.npy,11.10,140.53
img_317.npy,11.25,156.63
img_318.npy,10.38,152.09
img_319.npy,10.40,141.36
img_32.npy,10.88,143.23
img_320.npy,10.93,142.42
img_321.npy,10.77,155.01
img_322.npy,10.63,154.56
img_323.npy,10.58,137.57
img_324.npy,10.52,150.49
img_325.npy,10.87,153.61
img_326.npy,10.95,142.94
img_327.npy,10.82,157.83
img_328.npy,10.40,156.62
img_329.npy,11.03,139.33
img_33.npy,10.80,147.46
img_330.npy,10.54,154.61
img_331.npy,10.71,145.10
img_332.npy,11.50,148.32
img_333.npy,11.29,150.31
img_334.npy,10.73,146.10
img_335.npy,10.80,146.32
img_336.npy,10.84,153.38
img_337.npy,10.71,149.77
img_338.npy,10.22,143.26
img_339.npy,10.47,149.71
img_34.npy,10.92,148.80
img_340.npy,10.55,149.05
img_341.npy,10.70,148.48
img_342.npy,10.13,140.25
img_343.npy,10.63,139.81
img_344.npy,10.80,142.50
img_345.npy,10.51,143.52
img_346.npy,10.84,145.43
img_347.npy,10.68,146.86
img_348.npy,11.08,143.82
img_349.npy,10.59,151.46
img_35.npy,11.38,157.88
img_350.npy,10.17,161.57
img_351.npy,10.68,150.40
img_352.npy,11.10,159.82
img_353.npy,10.48,149.89
img_354.npy,10.90,145.56
img_355.npy,10.30,149.19
img_356.npy,10.14,146.47
img_357.npy,10.99,147.79
img_358.npy,10.82,147.21
img_359.npy,10.42,163.89
img_36.npy,10.80,148.76
img_360.npy,10.74,138.57
img_361.npy,10.87,142.52
img_362.npy,10.46,143.61
img_363.npy,10.61,151.73
img_364.npy,10.59,153.27
img_365.npy,10.57,142.86
img_366.npy,11.24,137.41
img_367.npy,10.81,149.18
img_368.npy,10.70,140.73
img_369.npy,10.76,139.55
img_37.npy,10.65,151.30
img_370.npy,10.35,148.08
img_371.npy,10.68,155.06
img_372.npy,10.80,145.17
img_373.npy,10.66,143.74
img_374.npy,11.21,135.84
img_375.npy,10.48,140.49
img_376.npy,10.34,141.03
img_377.npy,11.27,142.67
img_378.npy,10.85,147.14
img_379.npy,11.25,147.71
img_38.npy,10.61,150.93
img_380.npy,10.66,145.33
img_381.npy,10.61,143.81
img_382.npy,11.35,154.99
img_383.npy,10.65,163.16
img_384.npy,10.52,162.44
img_385.npy,10.60,157.39
img_386.npy,11.07,157.02
img_387.npy,10.60,154.92
img_388.npy,10.36,152.82
img_389.npy,10.78,144.16
img_39.npy,10.80,136.77
img_390.npy,10.94,135.79
img_391.npy,10.87,138.75
img_392.npy,10.38,141.28
img_393.npy,10.68,139.41
img_394.npy,11.11,141.55
img_395.npy,10.62,148.99
img_396.npy,10.64,149.39
img_397.npy,10.89,139.70
img_398.npy,10.89,153.19
img_399.npy,10.35,145.54
img_4.npy,11.38,152.33
img_40.npy,10.98,140.33
img_400.npy,10.93,144.56
img_401.npy,10.97,147.14
img_402.npy,11.10,136.00
img_403.npy,11.28,134.45
img_404.npy,10.84,136.24
img_405.npy,10.95,135.63
img_406.npy,11.05,131.83
img_407.npy,10.84,132.51
img_408.npy,11.14,129.35
img_409.npy,10.92,134.01
img_41.npy,11.25,136.66
img_410.npy,11.22,136.76
img_411.npy,11.05,137.34
img_412.npy,11.23,139.67
img_413.npy,11.15,140.07
img_414.npy,11.20,141.98
img_415.npy,11.54,135.76
img_416.npy,11.10,140.84
img_417.npy,11.48,141.39
img_418.npy,10.58,143.89
img_419.npy,10.65,145.84
img_42.npy,11.02,146.25
img_420.npy,10.49,145.26
img_421.npy,11.20,146.69
img_422.npy,11.15,147.45
img_423.npy,11.53,145.08
img_424.npy,11.59,143.55
img_425.npy,10.63,144.73
img_426.npy,10.49,143.61
img_427.npy,11.20,142.96
img_428.npy,11.02,145.15
img_429.npy,11.04,145.16
img_43.npy,10.79,140.30
img_430.npy,10.56,149.75
img_431.npy,10.95,141.29
img_432.npy,10.93,147.40
img_433.npy,11.18,146.53
img_434.npy,11.16,156.67
img_435.npy,10.81,147.82
img_436.npy,10.85,152.66
img_437.npy,10.62,156.58
img_438.npy,10.80,147.76
img_439.npy,10.69,138.61
img_44.npy,10.97,132.48
img_440.npy,10.91,134.29
img_441.npy,10.98,152.59
img_442.npy,10.71,149.55
img_443.npy,10.94,143.50
img_444.npy,11.28,149.37
img_445.npy,10.78,138.98
img_446.npy,10.71,154.30
img_447.npy,10.92,147.60
img_448.npy,10.82,145.53
img_449.npy,10.55,145.07
img_45.npy,11.30,147.10
img_450.npy,10.22,144.00
img_451.npy,10.33,147.71
img_452.npy,10.52,154.43
img_453.npy,10.54,139.29
img_454.npy,10.68,147.01
img_455.npy,10.48,146.32
img_456.npy,10.60,150.84
img_457.npy,10.55,145.44
