filename,time_s,peak_memory_mb
img_0.npy,13.66,133.73
img_1.npy,17.43,115.54
img_10.npy,18.31,112.98
img_100.npy,17.82,113.95
img_1000.npy,17.53,112.78
img_1001.npy,17.39,118.13
img_1002.npy,16.94,114.14
img_1003.npy,17.57,114.77
img_1004.npy,18.50,119.75
img_1005.npy,18.03,126.12
img_1006.npy,17.20,116.45
img_1007.npy,14.62,129.88
img_1008.npy,14.00,122.28
img_1009.npy,13.44,118.75
img_101.npy,14.17,114.19
img_1010.npy,14.91,113.69
img_1011.npy,14.48,112.42
img_1012.npy,14.81,112.11
img_1013.npy,14.19,113.75
img_1014.npy,14.62,115.36
img_1015.npy,14.72,113.94
img_1016.npy,14.51,118.66
img_1017.npy,14.80,112.10
img_1018.npy,14.91,112.73
img_1019.npy,15.23,113.29
img_102.npy,15.03,113.89
img_1020.npy,13.75,112.04
img_1021.npy,15.04,109.79
img_1022.npy,14.06,114.11
img_1023.npy,14.37,112.58
img_1024.npy,14.61,113.52
img_1025.npy,14.69,113.27
img_1026.npy,14.74,114.48
img_1027.npy,11.59,114.12
img_1028.npy,11.47,114.45
img_1029.npy,10.72,113.56
img_103.npy,11.32,114.42
img_1030.npy,11.03,114.55
img_1031.npy,10.80,114.89
img_1032.npy,11.36,114.37
img_1033.npy,11.52,114.75
img_1034.npy,11.46,116.29
img_1035.npy,10.77,116.60
img_1036.npy,10.49,118.46
img_1037.npy,10.85,130.45
img_1038.npy,10.45,122.67
img_1039.npy,10.70,118.14
img_104.npy,10.04,134.52
img_1040.npy,10.58,124.38
img_1041.npy,11.00,117.87
img_1042.npy,10.98,116.87
img_1043.npy,11.28,116.51
img_1044.npy,11.10,123.66
img_1045.npy,10.37,121.55
img_1046.npy,11.35,115.40
img_1047.npy,10.27,124.29
img_1048.npy,10.52,120.32
img_1049.npy,10.54,128.49
img_105.npy,10.90,130.46
img_1050.npy,10.88,131.26
img_1051.npy,10.24,122.85
img_1052.npy,11.10,117.58
img_1053.npy,10.54,124.25
img_1054.npy,11.17,127.43
img_1055.npy,11.29,126.09
img_1056.npy,10.65,125.40
img_1057.npy,10.94,126.08
img_1058.npy,10.67,127.71
img_1059.npy,10.23,130.28
img_106.npy,10.87,121.46
img_1060.npy,10.91,128.63
img_1061.npy,10.82,126.45
img_1062.npy,10.38,135.16
img_1063.npy,10.13,121.59
img_1064.npy,10.51,128.32
img_1065.npy,10.53,127.24
img_1066.npy,10.87,118.72
img_1067.npy,10.79,118.38
img_1068.npy,10.93,124.46
img_1069.npy,10.49,122.60
img_107.npy,10.45,130.12
img_1070.npy,11.03,117.13
img_1071.npy,10.90,123.55
img_1072.npy,10.48,125.95
img_1073.npy,10.62,119.62
img_1074.npy,10.90,117.02
img_1075.npy,11.07,116.16
img_1076.npy,11.38,116.57
img_1077.npy,10.86,122.62
img_1078.npy,10.76,118.98
img_1079.npy,10.62,122.01
img_108.npy,11.11,124.15
img_1080.npy,10.81,130.60
img_1081.npy,10.57,123.77
img_1082.npy,10.78,120.46
img_1083.npy,10.89,128.27
img_1084.npy,10.15,123.71
img_1085.npy,10.05,124.09
img_1086.npy,11.16,129.79
img_1087.npy,10.69,126.40
img_1088.npy,10.74,126.48
img_1089.npy,11.11,125.21
img_109.npy,10.98,118.48
img_1090.npy,10.84,122.28
img_1091.npy,10.71,124.93
img_1092.npy,11.16,128.31
img_1093.npy,10.46,131.27
img_1094.npy,11.21,130.99
img_1095.npy,10.17,123.69
img_1096.npy,11.34,128.40
img_1097.npy,11.49,124.29
img_1098.npy,10.72,137.56
img_1099.npy,10.95,124.82
img_11.npy,10.68,118.78
img_110.npy,10.72,127.77
img_1100.npy,10.94,123.22
img_1101.npy,11.40,123.79
img_1102.npy,10.48,123.47
img_1103.npy,10.87,118.92
img_1104.npy,11.29,129.76
img_1105.npy,10.68,126.02
img_1106.npy,11.33,125.61
img_1107.npy,10.57,125.41
img_1108.npy,10.50,121.57
img_1109.npy,10.36,118.82
img_111.npy,11.20,116.65
img_1110.npy,10.53,118.63
img_1111.npy,11.14,125.77
img_1112.npy,10.58,125.13
img_1113.npy,10.36,119.92
img_1114.npy,10.73,122.84
img_1115.npy,10.52,121.67
img_1116.npy,11.28,129.43
img_1117.npy,10.78,131.11
img_1118.npy,10.24,129.84
img_1119.npy,11.22,131.48
img_112.npy,10.78,131.32
img_1120.npy,10.45,120.90
img_1121.npy,10.69,126.27
img_1122.npy,9.99,126.11
img_1123.npy,11.01,123.88
img_1124.npy,10.45,124.79
img_1125.npy,10.82,119.65
img_1126.npy,10.71,120.34
img_1127.npy,11.05,120.09
img_1128.npy,11.19,124.75
img_1129.npy,10.80,128.65
img_113.npy,10.68,124.52
img_1130.npy,11.21,132.84
img_1131.npy,10.22,135.56
img_1132.npy,10.58,126.70
img_1133.npy,10.55,134.96
img_1134.npy,10.93,129.84
img_1135.npy,10.67,130.54
img_1136.npy,10.40,121.30
img_1137.npy,10.38,121.30
img_1138.npy,10.57,125.52
img_1139.npy,10.56,128.02
img_114.npy,11.18,128.14
img_1140.npy,11.17,123.47
img_1141.npy,11.08,118.99
img_1142.npy,11.02,115.16
img_1143.npy,10.44,117.75
img_1144.npy,10.70,113.87
img_1145.npy,10.44,119.64
img_1146.npy,10.36,120.14
img_1147.npy,10.99,117.31
img_1148.npy,10.62,129.24
img_1149.npy,11.00,127.74
img_115.npy,11.11,119.71
img_1150.npy,10.57,120.31
img_1151.npy,10.74,116.05
img_1152.npy,10.85,119.08
img_1153.npy,11.40,134.22
img_1154.npy,10.52,133.89
img_1155.npy,10.66,122.29
img_1156.npy,10.64,120.68
img_1157.npy,11.02,132.83
img_1158.npy,10.17,125.71
img_1159.npy,10.52,128.98
img_116.npy,10.80,120.69
img_1160.npy,10.20,117.16
img_1161.npy,11.25,116.37
img_1162.npy,10.22,128.18
img_1163.npy,10.30,129.75
img_1164.npy,10.95,133.61
img_1165.npy,10.63,125.21
img_1166.npy,10.53,118.70
img_1167.npy,10.44,118.80
img_1168.npy,10.83,127.65
img_1169.npy,10.70,132.95
img_117.npy,10.40,121.02
img_1170.npy,10.85,122.78
img_1171.npy,10.99,126.25
img_1172.npy,10.93,126.14
img_1173.npy,11.54,130.66
img_1174.npy,11.07,136.91
img_1175.npy,10.25,131.23
img_1176.npy,10.62,132.55
img_1177.npy,10.23,125.43
img_1178.npy,10.62,124.77
img_1179.npy,10.92,119.80
img_118.npy,10.60,120.02
img_1180.npy,10.84,123.46
img_1181.npy,10.75,126.21
img_1182.npy,10.50,119.15
img_1183.npy,11.29,131.91
img_1184.npy,10.65,124.48
img_1185.npy,10.73,124.64
img_1186.npy,10.61,125.95
img_1187.npy,10.68,121.65
img_1188.npy,10.43,124.27
img_1189.npy,10.81,126.08
img_119.npy,10.84,128.05
img_1190.npy,11.05,136.20
img_1191.npy,10.52,125.32
img_1192.npy,10.69,135.36
img_1193.npy,10.96,130.66
img_1194.npy,10.78,130.72
img_1195.npy,10.77,132.30
img_1196.npy,10.86,134.89
img_1197.npy,10.47,124.54
img_1198.npy,10.74,129.80
img_1199.npy,10.82,125.20
img_12.npy,10.90,126.03
img_120.npy,10.80,130.52
img_1200.npy,10.90,136.91
img_1201.npy,10.08,123.12
img_1202.npy,10.88,124.07
img_1203.npy,10.68,123.84
img_1204.npy,10.69,125.80
img_1205.npy,10.64,124.94
img_1206.npy,10.56,121.49
img_1207.npy,10.55,123.17
img_1208.npy,10.98,118.20
img_1209.npy,10.49,123.74
img_121.npy,11.43,124.63
img_1210.npy,10.45,126.56
img_1211.npy,10.80,135.40
img_1212.npy,10.74,134.57
img_1213.npy,10.82,129.60
img_1214.npy,11.25,120.86
img_1215.npy,10.97,118.50
img_1216.npy,10.79,124.02
img_1217.npy,10.94,129.47
img_1218.npy,10.36,128.03
img_1219.npy,10.89,129.83
img_122.npy,10.67,120.94
img_1220.npy,10.48,127.03
img_1221.npy,11.06,121.89
img_1222.npy,10.53,127.86
img_1223.npy,10.40,120.95
img_1224.npy,10.70,118.66
img_1225.npy,10.85,118.52
img_1226.npy,10.88,117.68
img_1227.npy,10.92,124.48
img_1228.npy,11.03,129.65
img_1229.npy,10.19,128.07
img_123.npy,11.11,120.38
img_1230.npy,10.90,129.56
img_1231.npy,11.33,130.68
img_1232.npy,10.69,123.68
img_1233.npy,11.20,130.20
img_1234.npy,10.58,121.16
img_1235.npy,10.92,128.98
img_1236.npy,10.66,126.56
img_1237.npy,10.50,129.46
img_1238.npy,10.15,123.83
img_1239.npy,10.63,125.67
img_124.npy,10.99,125.75
img_1240.npy,10.56,123.41
img_1241.npy,10.31,122.09
img_1242.npy,10.66,122.26
img_1243.npy,10.45,120.17
img_1244.npy,10.67,120.22
img_1245.npy,10.56,116.54
img_1246.npy,10.63,118.27
img_1247.npy,11.31,119.35
img_1248.npy,10.20,120.61
img_1249.npy,11.29,116.35
img_125.npy,10.90,117.14
img_1250.npy,10.54,119.96
img_1251.npy,11.23,128.36
img_1252.npy,10.26,124.32
img_1253.npy,10.98,121.35
img_1254.npy,10.18,129.50
img_1255.npy,10.56,121.59
img_1256.npy,10.63,122.18
img_1257.npy,11.06,128.87
img_1258.npy,10.34,124.96
img_1259.npy,10.68,124.54
img_126.npy,10.91,117.25
img_1260.npy,10.87,128.91
img_1261.npy,10.57,127.75
img_1262.npy,10.39,125.31
img_1263.npy,10.38,118.67
img_1264.npy,11.05,129.10
img_1265.npy,11.39,135.25
img_1266.npy,10.71,127.16
img_1267.npy,10.71,126.00
img_1268.npy,10.40,129.02
img_1269.npy,10.54,120.13
img_127.npy,10.87,121.45
img_1270.npy,10.21,120.39
img_1271.npy,10.81,124.51
img_1272.npy,11.02,124.29
img_1273.npy,10.90,120.60
img_1274.npy,10.92,124.91
img_1275.npy,10.54,129.51
img_1276.npy,11.04,125.42
img_1277.npy,10.66,129.19
img_1278.npy,10.98,122.11
img_1279.npy,10.75,117.85
img_128.npy,10.94,133.54
img_1280.npy,10.84,132.69
img_1281.npy,10.68,122.84
img_1282.npy,10.80,125.55
img_1283.npy,10.36,119.64
img_1284.npy,10.93,119.42
img_1285.npy,10.77,125.73
img_1286.npy,10.92,130.25
img_1287.npy,10.65,129.11
img_1288.npy,10.10,126.07
img_1289.npy,10.91,116.67
img_129.npy,11.23,116.62
img_1290.npy,10.72,117.57
img_1291.npy,10.60,118.20
img_1292.npy,10.80,121.09
img_1293.npy,10.67,127.40
img_1294.npy,10.88,126.81
img_1295.npy,10.72,125.76
img_1296.npy,10.79,118.29
img_1297.npy,10.70,129.87
img_1298.npy,10.71,131.70
img_1299.npy,10.94,122.95
img_13.npy,11.33,116.42
img_130.npy,10.88,126.93
img_1300.npy,10.77,116.72
img_1301.npy,11.33,115.01
img_1302.npy,11.26,116.52
img_1303.npy,10.97,123.62
img_1304.npy,11.50,127.71
img_1305.npy,11.38,123.07
img_1306.npy,11.39,127.40
img_1307.npy,11.64,126.00
img_1308.npy,11.24,117.77
img_1309.npy,11.21,114.96
img_131.npy,11.23,115.37
img_1310.npy,11.60,123.12
img_1311.npy,11.91,120.66
img_1312.npy,11.33,116.55
img_1313.npy,11.73,117.80
img_1314.npy,11.44,120.46
img_1315.npy,11.52,118.93
img_1316.npy,11.25,120.30
img_1317.npy,10.94,121.17
img_1318.npy,10.90,113.96
img_1319.npy,10.82,118.62
img_132.npy,11.10,120.19
img_1320.npy,10.96,114.49
img_1321.npy,11.46,118.70
img_1322.npy,11.55,120.39
img_1323.npy,11.10,120.15
img_1324.npy,10.43,114.79
img_1325.npy,10.63,115.02
img_1326.npy,11.06,118.46
img_1327.npy,11.31,115.73
img_1328.npy,11.24,118.79
img_1329.npy,11.23,118.51
img_133.npy,11.20,117.71
img_1330.npy,11.17,118.22
img_1331.npy,10.84,115.39
img_1332.npy,10.77,113.35
img_1333.npy,11.03,116.41
img_1334.npy,11.26,121.13
img_1335.npy,10.97,118.12
img_1336.npy,10.63,120.88
img_1337.npy,10.83,118.91
img_1338.npy,11.19,118.63
img_1339.npy,10.92,116.44
img_134.npy,10.83,116.00
img_1340.npy,10.39,115.09
img_1341.npy,10.54,113.76
img_1342.npy,10.92,119.30
img_1343.npy,11.17,118.21
img_1344.npy,10.77,119.08
img_1345.npy,10.87,120.94
img_1346.npy,10.60,121.32
img_1347.npy,10.55,118.20
img_1348.npy,11.39,122.27
img_1349.npy,10.75,121.89
img_135.npy,10.09,119.91
img_1350.npy,10.30,120.87
img_1351.npy,10.74,117.21
img_1352.npy,10.91,115.77
img_1353.npy,10.51,116.68
img_1354.npy,10.69,118.43
img_1355.npy,10.27,117.21
img_1356.npy,10.50,113.57
img_1357.npy,10.79,121.80
img_1358.npy,10.53,118.54
img_1359.npy,10.77,118.11
img_136.npy,10.47,122.25
img_1360.npy,10.92,121.47
img_1361.npy,10.87,121.00
img_1362.npy,11.05,116.74
img_1363.npy,11.09,119.94
img_1364.npy,10.75,118.20
img_1365.npy,11.07,116.82
img_1366.npy,10.96,121.70
img_1367.npy,10.42,119.12
img_1368.npy,10.51,114.95
img_1369.npy,10.53,124.55
img_137.npy,10.81,117.74
img_1370.npy,10.54,121.68
img_1371.npy,10.88,119.61
img_1372.npy,10.56,122.06
img_1373.npy,10.80,122.07
img_1374.npy,11.07,121.16
img_1375.npy,10.67,117.93
img_1376.npy,10.90,117.38
img_1377.npy,10.62,124.41
img_1378.npy,11.12,120.69
img_1379.npy,10.65,121.43
img_138.npy,10.69,116.68
img_1380.npy,10.82,121.25
img_1381.npy,10.51,115.71
img_1382.npy,10.72,121.99
img_1383.npy,11.03,117.36
img_1384.npy,10.56,119.32
img_1385.npy,10.37,122.37
img_1386.npy,10.93,119.51
img_1387.npy,10.76,123.93
img_1388.npy,11.08,124.30
img_1389.npy,10.95,122.26
img_139.npy,10.68,116.43
img_1390.npy,10.95,122.21
img_1391.npy,10.70,126.72
img_1392.npy,10.85,128.16
img_1393.npy,10.98,125.96
img_1394.npy,11.02,119.02
img_1395.npy,10.81,119.33
img_1396.npy,10.35,116.05
img_1397.npy,10.73,120.59
img_1398.npy,10.78,122.43
img_1399.npy,10.69,115.00
img_14.npy,10.72,114.45
img_140.npy,11.19,114.96
img_1400.npy,10.99,120.15
img_1401.npy,11.00,122.25
img_1402.npy,10.64,121.22
img_1403.npy,11.21,120.69
img_1404.npy,10.54,120.25
img_1405.npy,10.89,124.49
img_1406.npy,11.13,123.54
img_1407.npy,10.98,123.25
img_1408.npy,10.48,119.91
img_1409.npy,11.02,117.11
img_141.npy,10.50,120.09
img_1410.npy,10.86,118.16
img_1411.npy,10.77,120.43
img_1412.npy,10.89,122.45
img_1413.npy,10.73,115.82
img_1414.npy,10.50,116.02
img_1415.npy,10.63,115.96
img_1416.npy,10.72,117.93
img_1417.npy,10.72,119.86
img_1418.npy,11.04,121.01
img_1419.npy,10.60,120.29
img_142.npy,10.72,114.89
img_1420.npy,10.63,115.65
img_1421.npy,10.60,123.31
img_1422.npy,10.47,117.05
img_1423.npy,10.42,121.66
img_1424.npy,10.56,119.23
img_1425.npy,10.89,121.91
img_1426.npy,10.50,120.35
img_1427.npy,10.70,121.97
img_1428.npy,11.00,125.27
img_1429.npy,10.87,121.15
img_143.npy,10.49,124.69
img_1430.npy,10.36,123.42
img_1431.npy,10.50,119.02
img_1432.npy,10.74,119.98
img_1433.npy,10.85,123.52
img_1434.npy,10.83,119.42
img_1435.npy,10.61,119.02
img_1436.npy,11.04,118.01
img_1437.npy,10.62,119.68
img_1438.npy,10.29,115.81
img_1439.npy,10.83,127.33
img_144.npy,10.41,123.37
img_1440.npy,10.56,127.85
img_1441.npy,10.53,129.42
img_1442.npy,10.88,121.89
img_1443.npy,10.74,124.07
img_1444.npy,11.36,124.72
img_1445.npy,11.18,123.27
img_1446.npy,11.47,120.23
img_1447.npy,11.01,120.52
img_1448.npy,10.51,119.79
img_1449.npy,10.51,122.19
img_145.npy,10.66,122.88
img_1450.npy,10.68,115.52
img_1451.npy,10.98,120.78
img_1452.npy,11.21,114.18
img_1453.npy,10.89,117.74
img_1454.npy,11.32,119.66
img_1455.npy,11.03,116.79
img_1456.npy,11.09,113.82
img_1457.npy,11.31,117.91
