filename,time_s,peak_memory_mb
img_0.npy,16.83,796.00
img_1.npy,17.80,764.53
img_10.npy,18.29,770.39
img_11.npy,19.60,853.05
img_12.npy,18.39,849.98
img_13.npy,19.18,872.55
img_14.npy,17.75,761.61
img_15.npy,19.29,762.33
img_16.npy,19.81,776.43
img_17.npy,20.06,761.80
img_18.npy,15.08,763.69
img_19.npy,16.33,762.78
img_2.npy,15.48,764.07
img_20.npy,14.67,763.44
img_21.npy,16.44,1054.03
img_22.npy,16.13,1087.93
img_23.npy,14.53,767.45
img_24.npy,15.27,848.82
img_25.npy,15.59,871.05
img_26.npy,15.20,757.81
img_27.npy,15.06,760.90
img_28.npy,15.65,775.56
img_29.npy,16.22,761.57
img_3.npy,16.29,761.83
img_4.npy,15.70,761.00
img_5.npy,17.96,1046.45
img_6.npy,17.95,1086.88
img_7.npy,15.83,782.76
img_8.npy,15.68,759.42
img_9.npy,16.32,847.43
