filename,time_s,peak_memory_mb
img_0.npy,13.94,127.24
img_1.npy,17.29,114.28
img_10.npy,18.11,113.08
img_100.npy,17.89,113.63
img_1000.npy,17.47,112.34
img_10000.npy,17.08,113.62
img_10001.npy,17.18,114.00
img_10002.npy,17.68,119.33
img_10003.npy,18.08,118.33
img_10004.npy,18.02,114.67
img_10005.npy,17.53,115.43
img_10006.npy,14.41,123.46
img_10007.npy,14.50,123.01
img_10008.npy,13.18,118.36
img_10009.npy,14.19,114.68
img_1001.npy,14.58,115.18
img_10010.npy,14.97,112.96
img_10011.npy,14.40,113.80
img_10012.npy,14.46,117.58
img_10013.npy,14.58,114.02
img_10014.npy,14.67,116.00
img_10015.npy,14.42,113.39
img_10016.npy,14.79,113.82
img_10017.npy,14.92,112.03
img_10018.npy,15.03,111.70
img_10019.npy,14.59,112.05
img_1002.npy,13.80,111.67
img_10020.npy,15.24,112.60
img_10021.npy,14.28,112.16
img_10022.npy,14.61,112.00
img_10023.npy,14.76,112.59
img_10024.npy,14.69,112.87
img_10025.npy,14.71,113.73
img_10026.npy,11.59,113.46
img_10027.npy,11.46,114.11
img_10028.npy,10.73,114.38
img_10029.npy,11.33,114.21
img_1003.npy,11.00,114.51
img_10030.npy,10.83,114.66
img_10031.npy,11.34,114.57
img_10032.npy,11.54,115.41
img_10033.npy,11.46,116.51
img_10034.npy,10.79,116.25
img_10035.npy,10.51,117.01
img_10036.npy,10.75,119.94
img_10037.npy,10.43,128.20
img_10038.npy,10.46,119.28
img_10039.npy,10.44,120.32
img_1004.npy,10.42,125.39
img_10040.npy,11.34,118.66
img_10041.npy,11.25,118.57
img_10042.npy,11.06,133.58
img_10043.npy,10.60,121.64
img_10044.npy,10.53,122.23
img_10045.npy,11.22,117.17
img_10046.npy,10.54,121.79
img_10047.npy,10.39,124.65
img_10048.npy,10.28,126.92
img_10049.npy,10.83,117.98
img_1005.npy,11.08,124.30
img_10050.npy,10.37,123.16
img_10051.npy,10.86,117.87
img_10052.npy,10.94,124.28
img_10053.npy,10.81,118.98
img_10054.npy,10.98,118.34
img_10055.npy,11.47,123.77
img_10056.npy,10.77,130.13
img_10057.npy,10.55,130.68
img_10058.npy,10.34,126.54
img_10059.npy,10.74,127.60
img_1006.npy,10.88,119.95
img_10060.npy,10.71,126.92
img_10061.npy,10.21,120.89
img_10062.npy,10.28,130.36
img_10063.npy,10.57,127.95
img_10064.npy,10.69,118.04
img_10065.npy,10.72,123.86
img_10066.npy,11.19,120.30
img_10067.npy,10.35,127.00
img_10068.npy,10.26,119.52
img_10069.npy,10.85,118.95
img_1007.npy,10.68,125.86
img_10070.npy,10.75,123.64
img_10071.npy,11.19,122.38
img_10072.npy,10.76,122.22
img_10073.npy,10.93,128.71
img_10074.npy,10.93,115.91
img_10075.npy,11.31,117.26
img_10076.npy,11.01,129.49
img_10077.npy,10.51,127.97
img_10078.npy,10.56,119.49
img_10079.npy,11.01,119.48
img_1008.npy,10.79,129.26
img_10080.npy,10.68,121.16
img_10081.npy,10.68,120.90
img_10082.npy,10.99,125.09
img_10083.npy,10.16,126.59
img_10084.npy,10.23,124.96
img_10085.npy,10.62,119.74
img_10086.npy,10.76,120.74
img_10087.npy,10.69,128.14
img_10088.npy,11.05,117.15
img_10089.npy,11.37,123.85
img_1009.npy,10.62,120.78
img_10090.npy,11.09,128.89
img_10091.npy,10.48,122.43
img_10092.npy,10.85,124.32
img_10093.npy,11.11,124.06
img_10094.npy,10.61,124.42
img_10095.npy,10.69,121.43
img_10096.npy,11.29,115.40
img_10097.npy,11.32,118.03
img_10098.npy,10.66,119.52
img_10099.npy,10.94,126.92
img_101.npy,10.91,128.23
img_1010.npy,10.65,126.41
img_10100.npy,11.48,124.18
img_10101.npy,10.46,122.21
img_10102.npy,10.93,128.88
img_10103.npy,10.76,123.61
img_10104.npy,11.07,117.80
img_10105.npy,11.26,130.11
img_10106.npy,10.46,125.73
img_10107.npy,10.72,123.68
img_10108.npy,10.79,124.40
img_10109.npy,11.05,135.09
img_1011.npy,10.71,132.53
img_10110.npy,10.54,122.42
img_10111.npy,10.64,122.79
img_10112.npy,10.63,129.96
img_10113.npy,10.37,125.29
img_10114.npy,10.73,122.65
img_10115.npy,10.57,117.54
img_10116.npy,11.42,116.41
img_10117.npy,10.66,123.21
img_10118.npy,10.86,123.26
img_10119.npy,10.45,125.45
img_1012.npy,10.77,122.91
img_10120.npy,10.71,132.86
img_10121.npy,10.18,122.41
img_10122.npy,10.45,120.97
img_10123.npy,11.10,124.03
img_10124.npy,10.48,119.98
img_10125.npy,11.12,123.71
img_10126.npy,10.70,123.88
img_10127.npy,10.84,130.21
img_10128.npy,10.84,124.76
img_10129.npy,11.00,124.30
img_1013.npy,11.21,131.98
img_10130.npy,10.05,125.18
img_10131.npy,10.47,123.60
img_10132.npy,10.77,118.27
img_10133.npy,10.93,125.08
img_10134.npy,10.31,121.64
img_10135.npy,10.89,117.81
img_10136.npy,10.53,126.71
img_10137.npy,10.28,126.35
img_10138.npy,10.60,121.12
img_10139.npy,10.94,119.26
img_1014.npy,11.50,119.85
img_10140.npy,11.47,129.10
img_10141.npy,10.66,131.05
img_10142.npy,10.93,128.07
img_10143.npy,10.60,134.05
img_10144.npy,10.23,130.30
img_10145.npy,10.25,131.64
img_10146.npy,10.89,120.22
img_10147.npy,10.75,120.47
img_10148.npy,10.90,116.54
img_10149.npy,10.63,122.59
img_1015.npy,10.82,115.30
img_10150.npy,11.05,115.55
img_10151.npy,10.86,123.82
img_10152.npy,11.17,129.36
img_10153.npy,10.74,119.02
img_10154.npy,10.54,120.62
img_10155.npy,10.77,121.39
img_10156.npy,11.01,129.20
img_10157.npy,10.27,128.89
img_10158.npy,10.67,124.85
img_10159.npy,10.32,125.72
img_1016.npy,10.42,120.52
img_10160.npy,10.73,117.64
img_10161.npy,10.78,119.20
img_10162.npy,9.95,123.93
img_10163.npy,10.94,123.83
img_10164.npy,10.99,125.84
img_10165.npy,10.81,127.18
img_10166.npy,10.57,125.91
img_10167.npy,10.40,130.45
img_10168.npy,10.47,124.38
img_10169.npy,10.93,121.87
img_1017.npy,10.55,126.54
img_10170.npy,10.85,119.39
img_10171.npy,11.09,129.41
img_10172.npy,10.80,116.78
img_10173.npy,10.97,116.38
img_10174.npy,10.88,118.02
img_10175.npy,10.58,119.10
img_10176.npy,10.66,131.31
img_10177.npy,10.49,124.67
img_10178.npy,10.90,122.98
img_10179.npy,10.70,127.86
img_1018.npy,10.41,126.00
img_10180.npy,10.85,119.29
img_10181.npy,10.71,127.03
img_10182.npy,10.89,124.20
img_10183.npy,10.69,117.94
img_10184.npy,10.59,123.38
img_10185.npy,10.78,118.26
img_10186.npy,10.72,128.09
img_10187.npy,10.69,129.73
img_10188.npy,10.44,127.75
img_10189.npy,11.18,117.44
img_1019.npy,10.95,129.35
img_10190.npy,10.48,122.99
img_10191.npy,10.71,123.18
img_10192.npy,10.77,123.70
img_10193.npy,10.81,122.85
img_10194.npy,10.98,122.82
img_10195.npy,10.58,116.89
img_10196.npy,10.67,126.66
img_10197.npy,10.46,123.19
img_10198.npy,11.04,117.05
img_10199.npy,10.92,126.68
img_102.npy,11.02,125.23
img_1020.npy,10.48,121.89
img_10200.npy,10.39,120.42
img_10201.npy,10.77,123.19
img_10202.npy,11.00,133.53
img_10203.npy,10.55,123.24
img_10204.npy,10.68,125.55
img_10205.npy,10.83,132.55
img_10206.npy,10.54,123.41
img_10207.npy,10.47,125.84
img_10208.npy,10.89,121.53
img_10209.npy,11.12,123.13
img_1021.npy,10.41,123.20
img_10210.npy,10.80,117.16
img_10211.npy,10.59,117.66
img_10212.npy,10.81,116.81
img_10213.npy,11.15,116.96
img_10214.npy,11.25,116.34
img_10215.npy,10.51,118.25
img_10216.npy,11.09,117.04
img_10217.npy,10.67,127.08
img_10218.npy,10.87,126.49
img_10219.npy,10.71,128.00
img_1022.npy,10.70,130.65
img_10220.npy,10.72,126.25
img_10221.npy,10.63,124.60
img_10222.npy,10.30,121.27
img_10223.npy,10.57,116.73
img_10224.npy,11.10,118.64
img_10225.npy,10.81,116.92
img_10226.npy,11.01,130.22
img_10227.npy,10.57,118.54
img_10228.npy,10.77,121.29
img_10229.npy,10.74,129.29
img_1023.npy,10.74,124.29
img_10230.npy,11.50,130.09
img_10231.npy,10.95,121.60
img_10232.npy,11.13,122.96
img_10233.npy,10.82,129.21
img_10234.npy,10.78,131.75
img_10235.npy,10.38,125.39
img_10236.npy,10.38,126.91
img_10237.npy,10.55,124.73
img_10238.npy,10.62,124.95
img_10239.npy,10.77,121.11
img_1024.npy,11.07,130.62
img_10240.npy,10.15,122.33
img_10241.npy,10.50,119.29
img_10242.npy,10.56,130.62
img_10243.npy,10.92,121.30
img_10244.npy,10.55,130.47
img_10245.npy,10.93,127.05
img_10246.npy,10.69,124.59
img_10247.npy,10.57,125.17
img_10248.npy,11.09,116.38
img_10249.npy,10.59,120.48
img_1025.npy,10.69,122.95
img_10250.npy,11.16,118.56
img_10251.npy,10.56,125.86
img_10252.npy,10.90,123.18
img_10253.npy,10.00,124.53
img_10254.npy,10.72,121.23
img_10255.npy,10.39,124.73
img_10256.npy,11.14,130.27
img_10257.npy,10.36,122.18
img_10258.npy,10.68,128.50
img_10259.npy,11.12,132.40
img_1026.npy,10.51,125.21
img_10260.npy,10.65,118.17
img_10261.npy,10.63,130.27
img_10262.npy,10.34,121.77
img_10263.npy,10.91,124.56
img_10264.npy,10.95,118.80
img_10265.npy,11.12,125.47
img_10266.npy,10.45,122.67
img_10267.npy,10.85,129.20
img_10268.npy,10.72,131.46
img_10269.npy,10.19,128.67
img_1027.npy,10.47,127.45
img_10270.npy,11.01,127.87
img_10271.npy,10.43,119.34
img_10272.npy,11.16,117.12
img_10273.npy,10.91,116.98
img_10274.npy,10.53,122.75
img_10275.npy,10.62,118.00
img_10276.npy,11.04,123.34
img_10277.npy,10.89,116.21
img_10278.npy,11.03,117.11
img_10279.npy,10.64,121.09
img_1028.npy,11.11,133.14
img_10280.npy,10.95,134.28
img_10281.npy,10.22,122.38
img_10282.npy,10.83,114.42
img_10283.npy,10.61,123.39
img_10284.npy,10.76,119.30
img_10285.npy,10.91,123.59
img_10286.npy,10.86,123.87
img_10287.npy,10.72,129.10
img_10288.npy,11.37,130.09
img_10289.npy,11.04,127.67
img_1029.npy,10.15,130.25
img_10290.npy,10.30,132.04
img_10291.npy,10.79,118.27
img_10292.npy,10.65,126.89
img_10293.npy,10.87,120.59
img_10294.npy,10.89,124.90
img_10295.npy,10.92,125.96
img_10296.npy,10.33,127.18
img_10297.npy,10.32,121.17
img_10298.npy,10.87,116.72
img_10299.npy,10.77,116.74
img_103.npy,10.35,116.47
img_1030.npy,10.69,116.69
img_10300.npy,11.17,116.77
img_10301.npy,11.09,116.84
img_10302.npy,10.83,116.90
img_10303.npy,10.96,115.91
img_10304.npy,11.13,115.27
img_10305.npy,11.04,114.34
img_10306.npy,11.46,114.43
img_10307.npy,11.04,114.14
img_10308.npy,11.02,114.01
img_10309.npy,11.36,113.93
img_1031.npy,10.93,113.79
img_10310.npy,10.96,113.10
img_10311.npy,11.46,112.74
img_10312.npy,10.94,112.91
img_10313.npy,11.38,112.38
img_10314.npy,10.91,114.17
img_10315.npy,11.48,114.91
img_10316.npy,10.86,115.73
img_10317.npy,10.92,115.19
img_10318.npy,10.98,115.58
img_10319.npy,10.56,114.20
img_1032.npy,11.18,115.24
img_10320.npy,11.05,114.39
img_10321.npy,11.34,114.00
img_10322.npy,11.73,115.46
img_10323.npy,10.90,115.39
img_10324.npy,10.49,114.48
img_10325.npy,11.15,112.64
img_10326.npy,11.22,112.77
img_10327.npy,11.21,114.76
img_10328.npy,10.90,114.40
img_10329.npy,10.91,114.30
img_1033.npy,11.25,115.26
img_10330.npy,11.15,124.44
img_10331.npy,11.15,123.85
img_10332.npy,11.21,119.02
img_10333.npy,10.75,123.59
img_10334.npy,10.86,119.82
img_10335.npy,10.61,124.33
img_10336.npy,10.86,128.87
img_10337.npy,10.64,114.94
img_10338.npy,11.05,114.99
img_10339.npy,10.90,116.09
img_1034.npy,10.86,125.83
img_10340.npy,10.83,123.99
img_10341.npy,10.88,124.52
img_10342.npy,11.27,126.02
img_10343.npy,10.96,125.66
img_10344.npy,10.50,124.47
img_10345.npy,11.07,125.89
img_10346.npy,10.82,122.29
img_10347.npy,10.61,124.69
img_10348.npy,11.10,126.48
img_10349.npy,10.35,119.99
img_1035.npy,10.38,122.44
img_10350.npy,10.48,122.36
img_10351.npy,10.59,125.66
img_10352.npy,10.67,128.38
img_10353.npy,10.34,123.69
img_10354.npy,10.56,126.01
img_10355.npy,10.58,123.22
img_10356.npy,11.04,125.88
img_10357.npy,10.50,126.94
img_10358.npy,10.75,121.33
img_10359.npy,10.75,124.76
img_1036.npy,10.74,124.50
img_10360.npy,11.12,122.02
img_10361.npy,10.90,118.56
img_10362.npy,10.78,124.29
img_10363.npy,10.72,123.47
img_10364.npy,10.84,124.93
img_10365.npy,10.96,123.62
img_10366.npy,11.06,115.91
img_10367.npy,10.72,119.04
img_10368.npy,10.66,117.77
img_10369.npy,10.66,114.01
img_1037.npy,10.61,116.86
img_10370.npy,10.94,116.90
img_10371.npy,10.53,122.17
img_10372.npy,10.86,119.16
img_10373.npy,10.77,125.40
img_10374.npy,10.29,121.34
img_10375.npy,10.83,115.62
img_10376.npy,10.97,119.23
img_10377.npy,10.96,118.30
img_10378.npy,10.78,115.24
img_10379.npy,10.77,119.49
img_1038.npy,10.73,115.99
img_10380.npy,10.67,123.87
img_10381.npy,10.65,119.63
img_10382.npy,10.80,119.40
img_10383.npy,11.12,118.57
img_10384.npy,10.45,117.84
img_10385.npy,10.42,122.75
img_10386.npy,11.05,123.32
img_10387.npy,11.02,119.85
img_10388.npy,11.16,115.58
img_10389.npy,10.92,121.42
img_1039.npy,10.65,118.20
img_10390.npy,11.23,115.88
img_10391.npy,11.34,117.86
img_10392.npy,10.90,116.62
img_10393.npy,10.45,121.74
img_10394.npy,10.79,121.52
img_10395.npy,10.88,116.19
img_10396.npy,10.64,118.40
img_10397.npy,10.64,120.50
img_10398.npy,10.47,122.11
img_10399.npy,11.14,120.19
img_104.npy,11.14,113.39
img_1040.npy,11.06,120.94
img_10400.npy,10.93,121.18
img_10401.npy,11.32,119.15
img_10402.npy,10.57,114.78
img_10403.npy,10.70,113.86
img_10404.npy,10.27,113.74
img_10405.npy,11.51,120.63
img_10406.npy,10.66,122.04
img_10407.npy,10.45,121.64
img_10408.npy,10.43,121.17
img_10409.npy,10.51,122.02
img_1041.npy,10.56,124.32
img_10410.npy,10.77,126.28
img_10411.npy,10.74,120.15
img_10412.npy,10.75,125.20
img_10413.npy,10.81,118.27
img_10414.npy,10.71,119.61
img_10415.npy,10.86,121.17
img_10416.npy,10.56,118.87
img_10417.npy,10.89,122.29
img_10418.npy,10.38,117.47
img_10419.npy,10.93,120.58
img_1042.npy,10.86,119.19
img_10420.npy,10.69,123.92
img_10421.npy,10.59,119.54
img_10422.npy,10.29,122.96
img_10423.npy,10.21,125.32
img_10424.npy,10.57,119.81
img_10425.npy,11.02,119.63
img_10426.npy,11.05,124.22
img_10427.npy,10.78,117.46
img_10428.npy,11.17,121.54
img_10429.npy,11.03,117.64
img_1043.npy,10.41,121.44
img_10430.npy,10.62,116.76
img_10431.npy,10.33,117.47
img_10432.npy,10.99,117.95
img_10433.npy,10.65,123.52
img_10434.npy,10.69,121.40
img_10435.npy,10.65,118.44
img_10436.npy,10.84,117.05
img_10437.npy,11.02,119.62
img_10438.npy,10.54,119.44
img_10439.npy,10.65,120.37
img_1044.npy,10.55,118.23
img_10440.npy,10.69,119.14
img_10441.npy,10.81,120.48
img_10442.npy,10.34,117.62
img_10443.npy,10.82,113.16
img_10444.npy,11.33,113.46
img_10445.npy,10.88,113.71
img_10446.npy,10.99,113.55
img_10447.npy,10.86,121.71
img_10448.npy,10.15,123.61
img_10449.npy,10.73,115.78
img_1045.npy,10.87,122.99
img_10450.npy,10.98,123.49
img_10451.npy,11.00,122.24
img_10452.npy,10.93,126.23
img_10453.npy,10.54,114.55
img_10454.npy,10.85,116.89
img_10455.npy,11.04,126.54
img_10456.npy,11.20,128.82
img_10457.npy,11.17,129.83
img_10458.npy,10.72,117.75
img_10459.npy,11.09,126.69
img_1046.npy,10.69,121.93
img_10460.npy,10.88,126.41
img_10461.npy,11.06,122.00
img_10462.npy,10.87,124.29
img_10463.npy,10.80,123.74
img_10464.npy,10.71,125.67
img_10465.npy,11.03,126.90
img_10466.npy,11.00,127.68
img_10467.npy,10.39,118.48
img_10468.npy,10.70,128.35
img_10469.npy,11.05,123.03
img_1047.npy,10.41,127.29
img_10470.npy,10.48,123.51
img_10471.npy,10.96,123.90
img_10472.npy,10.80,123.77
img_10473.npy,10.56,116.13
img_10474.npy,10.65,114.39
img_10475.npy,11.11,114.73
img_10476.npy,10.94,127.55
img_10477.npy,10.69,128.25
img_10478.npy,10.44,127.15
img_10479.npy,10.81,122.87
img_1048.npy,10.87,130.17
img_10480.npy,10.62,122.95
img_10481.npy,10.51,131.45
img_10482.npy,10.42,123.78
img_10483.npy,10.30,116.01
img_10484.npy,10.59,124.87
img_10485.npy,10.44,116.67
img_10486.npy,10.66,119.86
img_10487.npy,10.61,127.54
img_10488.npy,10.53,125.95
img_10489.npy,10.47,129.04
img_1049.npy,10.52,123.15
img_10490.npy,10.77,126.77
img_10491.npy,11.35,120.96
img_10492.npy,10.74,122.16
img_10493.npy,10.80,117.92
img_10494.npy,11.15,125.44
img_10495.npy,10.30,128.69
img_10496.npy,10.42,122.93
img_10497.npy,11.04,121.11
img_10498.npy,10.58,119.16
img_10499.npy,10.89,125.28
img_105.npy,10.24,134.03
img_1050.npy,10.74,116.76
img_10500.npy,11.26,116.17
img_10501.npy,11.52,116.55
img_10502.npy,10.51,122.87
img_10503.npy,11.31,122.36
img_10504.npy,11.00,116.40
img_10505.npy,10.24,117.59
img_10506.npy,10.90,117.29
img_10507.npy,11.25,131.26
img_10508.npy,10.28,124.49
img_10509.npy,10.59,129.63
img_1051.npy,10.90,132.64
img_10510.npy,10.56,131.74
img_10511.npy,10.97,125.41
img_10512.npy,11.33,122.51
img_10513.npy,10.88,118.18
img_10514.npy,10.58,126.50
img_10515.npy,10.76,130.34
img_10516.npy,11.29,130.13
img_10517.npy,10.72,130.56
img_10518.npy,10.28,122.99
img_10519.npy,10.48,116.40
img_1052.npy,10.58,118.36
img_10520.npy,10.78,123.84
img_10521.npy,10.45,133.60
img_10522.npy,10.63,132.74
img_10523.npy,10.73,120.16
img_10524.npy,10.58,124.89
img_10525.npy,10.76,124.82
img_10526.npy,10.59,120.08
img_10527.npy,10.79,121.38
img_10528.npy,10.72,116.22
img_10529.npy,10.86,125.32
img_1053.npy,11.19,124.97
img_10530.npy,10.63,132.27
img_10531.npy,10.60,129.78
img_10532.npy,10.74,117.75
img_10533.npy,10.76,120.48
img_10534.npy,10.58,129.54
img_10535.npy,10.65,127.27
img_10536.npy,10.64,116.80
img_10537.npy,11.12,116.33
img_10538.npy,10.70,121.96
img_10539.npy,10.93,128.32
img_1054.npy,10.28,125.21
img_10540.npy,10.73,123.59
img_10541.npy,11.12,126.06
img_10542.npy,10.85,121.32
img_10543.npy,10.73,131.71
img_10544.npy,10.93,122.84
img_10545.npy,10.23,122.80
img_10546.npy,10.97,119.57
img_10547.npy,11.03,126.49
img_10548.npy,10.48,127.51
img_10549.npy,10.96,124.75
img_1055.npy,10.74,125.64
img_10550.npy,10.80,125.11
img_10551.npy,11.17,119.38
img_10552.npy,10.63,122.46
img_10553.npy,11.01,120.61
img_10554.npy,11.15,125.91
img_10555.npy,10.63,131.88
img_10556.npy,10.81,134.82
img_10557.npy,10.00,123.62
img_10558.npy,10.06,120.89
img_10559.npy,10.22,126.77
img_1056.npy,10.29,125.53
img_10560.npy,10.74,119.63
img_10561.npy,10.81,126.44
img_10562.npy,10.54,119.36
img_10563.npy,10.62,117.79
img_10564.npy,10.66,117.43
img_10565.npy,10.91,128.23
img_10566.npy,10.32,121.70
img_10567.npy,10.42,125.84
img_10568.npy,10.93,126.23
img_10569.npy,10.85,128.36
img_1057.npy,10.47,127.65
img_10570.npy,10.77,120.89
img_10571.npy,10.75,119.97
img_10572.npy,10.86,125.21
img_10573.npy,10.36,130.09
img_10574.npy,10.36,127.25
img_10575.npy,11.03,127.29
img_10576.npy,10.28,126.59
img_10577.npy,10.67,118.56
img_10578.npy,10.48,132.30
img_10579.npy,11.13,123.00
img_1058.npy,10.80,120.90
img_10580.npy,11.24,126.77
img_10581.npy,10.69,129.09
img_10582.npy,10.21,118.80
img_10583.npy,10.59,121.09
img_10584.npy,10.63,118.66
img_10585.npy,11.23,124.00
img_10586.npy,11.16,124.57
img_10587.npy,11.21,114.15
img_10588.npy,11.13,113.71
img_10589.npy,10.60,115.79
img_1059.npy,10.68,116.32
img_10590.npy,11.22,120.50
img_10591.npy,10.69,126.97
img_10592.npy,11.09,118.28
img_10593.npy,10.49,127.88
img_10594.npy,10.25,125.08
img_10595.npy,10.46,117.98
img_10596.npy,10.94,132.06
img_10597.npy,10.69,130.15
img_10598.npy,10.65,123.82
img_10599.npy,10.86,116.75
img_106.npy,11.00,119.27
img_1060.npy,10.73,118.75
img_10600.npy,11.17,117.78
img_10601.npy,10.69,118.01
img_10602.npy,10.80,129.51
img_10603.npy,10.67,120.01
img_10604.npy,10.54,117.37
img_10605.npy,11.03,119.96
img_10606.npy,10.62,123.66
img_10607.npy,10.66,131.60
img_10608.npy,10.89,123.95
img_10609.npy,10.43,119.47
img_1061.npy,10.96,125.20
img_10610.npy,10.93,123.41
img_10611.npy,10.59,119.71
img_10612.npy,10.66,118.18
img_10613.npy,10.72,118.48
img_10614.npy,11.28,126.06
img_10615.npy,10.55,121.89
img_10616.npy,11.09,128.71
img_10617.npy,10.49,120.64
img_10618.npy,11.07,118.61
img_10619.npy,10.49,121.59
img_1062.npy,10.55,129.60
img_10620.npy,10.82,118.06
img_10621.npy,10.94,126.30
img_10622.npy,10.44,120.46
img_10623.npy,10.59,117.40
img_10624.npy,11.11,116.49
img_10625.npy,11.41,115.63
img_10626.npy,11.27,116.36
img_10627.npy,11.31,115.00
img_10628.npy,11.28,115.75
img_10629.npy,11.10,121.10
img_1063.npy,10.93,124.50
