filename,time_s,peak_memory_mb
img_0.npy,1.45,52.23
img_1.npy,1.27,48.77
img_10.npy,1.37,59.73
img_100.npy,1.15,54.48
img_101.npy,1.40,52.37
img_102.npy,1.44,56.16
img_103.npy,1.37,59.21
img_104.npy,1.27,47.69
img_105.npy,1.58,58.25
img_106.npy,1.42,52.53
img_107.npy,1.37,50.38
img_108.npy,1.39,58.87
img_109.npy,1.50,50.24
img_11.npy,1.28,54.09
img_110.npy,1.30,56.26
img_111.npy,1.41,55.48
img_112.npy,1.47,53.14
img_113.npy,1.40,52.80
img_114.npy,1.34,60.61
img_115.npy,1.18,48.36
img_116.npy,1.44,64.06
img_117.npy,1.49,53.59
img_118.npy,1.18,56.71
img_119.npy,1.55,59.23
img_12.npy,1.37,54.53
img_120.npy,1.30,52.15
img_121.npy,1.41,53.50
img_122.npy,1.39,48.81
img_123.npy,1.27,56.63
img_124.npy,1.40,54.55
img_125.npy,1.28,62.73
img_126.npy,1.34,59.50
img_127.npy,1.12,43.32
img_128.npy,1.46,58.54
img_129.npy,1.37,57.94
img_13.npy,1.30,52.85
img_130.npy,1.35,58.30
img_131.npy,1.23,55.80
img_132.npy,1.28,46.64
img_133.npy,1.52,56.27
img_134.npy,1.44,59.79
img_135.npy,1.40,58.55
img_136.npy,1.38,55.45
img_137.npy,1.49,55.56
img_138.npy,1.52,59.84
img_139.npy,1.62,60.76
img_14.npy,1.31,58.36
img_140.npy,1.39,60.42
img_141.npy,1.30,52.87
img_142.npy,1.41,53.63
img_143.npy,1.34,50.77
img_144.npy,1.34,50.13
img_145.npy,1.38,53.67
img_146.npy,1.28,59.11
img_147.npy,1.27,59.23
img_148.npy,1.34,57.20
img_149.npy,1.34,52.14
img_15.npy,1.47,56.09
img_150.npy,1.20,53.94
img_151.npy,1.19,56.37
img_152.npy,1.42,54.98
img_153.npy,1.25,52.60
img_154.npy,1.14,50.03
img_155.npy,1.49,52.08
img_156.npy,1.58,53.01
img_157.npy,1.45,50.90
img_158.npy,1.27,56.95
img_159.npy,1.49,54.19
img_16.npy,1.28,53.61
img_160.npy,1.37,48.09
img_161.npy,1.41,60.14
img_162.npy,1.49,65.41
img_163.npy,1.42,59.95
img_164.npy,1.64,62.37
img_165.npy,1.36,54.86
img_166.npy,1.17,62.92
img_167.npy,1.19,48.02
img_168.npy,1.28,54.66
img_169.npy,1.17,51.98
img_17.npy,1.34,56.81
img_170.npy,1.34,58.20
img_171.npy,1.35,52.41
img_172.npy,1.51,60.01
img_173.npy,1.41,59.45
img_174.npy,1.52,48.76
img_175.npy,1.26,56.13
img_176.npy,1.46,59.12
img_177.npy,1.09,51.34
img_178.npy,1.50,56.57
img_179.npy,1.37,52.19
img_18.npy,1.26,57.63
img_180.npy,1.53,57.12
img_181.npy,1.43,58.26
img_182.npy,1.19,49.78
img_183.npy,1.18,51.06
img_184.npy,1.52,58.84
img_185.npy,1.37,53.61
img_186.npy,1.30,59.36
img_187.npy,1.41,55.01
img_188.npy,1.51,57.75
img_189.npy,1.46,54.98
img_19.npy,1.36,59.77
img_190.npy,1.32,63.55
img_191.npy,1.15,52.53
img_192.npy,1.43,70.06
img_193.npy,1.50,52.46
img_194.npy,1.39,57.98
img_195.npy,1.58,66.00
img_196.npy,1.36,53.64
img_197.npy,1.42,59.91
img_198.npy,1.40,60.57
img_199.npy,1.44,53.55
img_2.npy,1.44,54.40
img_20.npy,1.37,49.02
img_200.npy,1.46,61.56
img_201.npy,1.20,52.51
img_202.npy,1.33,54.84
img_203.npy,1.39,56.97
img_204.npy,1.25,49.57
img_205.npy,1.45,55.65
img_206.npy,1.35,58.37
img_207.npy,1.35,57.45
img_208.npy,1.30,57.54
img_209.npy,1.39,59.94
img_21.npy,1.30,51.44
img_210.npy,1.34,53.89
img_211.npy,1.40,54.44
img_212.npy,1.40,55.43
img_213.npy,1.40,60.73
img_214.npy,1.32,48.84
img_215.npy,1.38,56.96
img_216.npy,1.46,54.75
img_217.npy,1.20,48.26
img_218.npy,1.29,54.97
img_219.npy,1.33,54.13
img_22.npy,1.48,53.59
img_220.npy,1.44,54.22
img_221.npy,1.10,44.29
img_222.npy,1.40,59.15
img_223.npy,1.44,54.51
img_224.npy,1.22,47.33
img_225.npy,1.39,63.47
img_226.npy,1.15,51.05
img_227.npy,1.27,53.82
img_228.npy,1.46,60.07
img_229.npy,1.45,64.24
img_23.npy,1.38,50.97
img_230.npy,1.24,55.12
img_231.npy,1.22,55.12
img_232.npy,1.37,55.53
img_233.npy,1.34,62.80
img_234.npy,1.39,55.35
img_235.npy,1.31,52.99
img_236.npy,1.17,43.22
img_237.npy,1.49,56.88
img_238.npy,1.24,52.35
img_239.npy,1.33,54.52
img_24.npy,1.57,64.89
img_240.npy,1.33,62.27
img_241.npy,1.25,52.66
img_242.npy,1.40,53.85
img_243.npy,1.61,56.75
img_244.npy,1.28,56.30
img_245.npy,1.33,62.61
img_246.npy,1.26,58.12
img_247.npy,1.50,66.68
img_248.npy,1.22,52.97
img_249.npy,1.42,53.69
img_25.npy,1.11,47.05
img_250.npy,1.21,52.81
img_251.npy,1.52,54.09
img_252.npy,1.67,55.12
img_253.npy,1.44,59.24
img_254.npy,1.32,50.26
img_255.npy,1.44,55.26
img_256.npy,1.36,59.27
img_257.npy,1.48,62.98
img_258.npy,1.40,51.77
img_259.npy,1.24,56.58
img_26.npy,1.49,47.08
img_260.npy,1.35,51.64
img_261.npy,1.48,61.81
img_262.npy,1.61,63.30
img_263.npy,1.34,52.80
img_264.npy,1.48,58.76
img_265.npy,1.24,49.87
img_266.npy,1.38,54.03
img_267.npy,1.25,52.59
img_268.npy,1.47,53.29
img_269.npy,1.31,47.80
img_27.npy,1.31,60.95
img_270.npy,1.56,60.63
img_271.npy,1.43,51.93
img_272.npy,1.29,52.66
img_273.npy,1.38,60.43
img_274.npy,1.38,55.92
img_275.npy,1.51,55.39
img_276.npy,1.41,59.07
img_277.npy,1.20,54.73
img_278.npy,1.54,59.54
img_279.npy,1.34,59.14
img_28.npy,1.42,53.02
img_280.npy,1.64,58.46
img_281.npy,1.25,49.40
img_282.npy,1.35,57.75
img_283.npy,1.60,68.95
img_284.npy,1.35,62.33
img_285.npy,1.89,55.23
img_286.npy,1.21,57.01
img_287.npy,1.20,56.77
img_288.npy,1.32,53.23
img_289.npy,1.38,54.69
img_29.npy,1.23,51.65
img_290.npy,1.39,50.09
img_291.npy,1.63,57.52
img_292.npy,1.44,49.88
img_293.npy,1.55,57.84
img_294.npy,1.52,66.18
img_295.npy,1.42,56.71
img_296.npy,1.39,57.67
img_297.npy,1.43,67.54
img_298.npy,1.32,58.30
img_299.npy,1.28,53.56
img_3.npy,1.50,54.27
img_30.npy,1.39,54.57
img_300.npy,1.48,56.05
img_301.npy,1.27,54.95
img_302.npy,1.41,54.99
img_303.npy,1.22,49.31
img_304.npy,1.24,53.75
img_305.npy,1.53,62.51
img_306.npy,1.36,48.94
img_307.npy,1.35,58.64
img_308.npy,1.46,59.80
img_309.npy,1.56,60.12
img_31.npy,1.57,63.74
img_310.npy,1.33,60.53
img_311.npy,1.40,66.89
img_312.npy,1.32,64.04
img_313.npy,1.35,51.82
img_314.npy,1.32,61.38
img_315.npy,1.22,44.25
img_316.npy,1.52,65.11
img_317.npy,1.45,58.59
img_318.npy,1.80,53.55
img_319.npy,1.45,59.53
img_32.npy,1.36,60.44
img_320.npy,1.66,66.54
img_321.npy,1.33,59.09
img_322.npy,1.37,66.45
img_323.npy,1.19,43.25
img_324.npy,1.35,53.06
img_325.npy,1.62,64.42
img_326.npy,1.36,53.31
img_327.npy,1.31,58.41
img_328.npy,1.38,56.07
img_329.npy,1.49,64.11
img_33.npy,1.42,59.42
img_330.npy,1.40,58.58
img_331.npy,1.38,56.62
img_332.npy,1.56,54.55
img_333.npy,1.29,59.44
img_334.npy,1.36,56.61
img_335.npy,1.38,55.68
img_336.npy,1.34,53.23
img_337.npy,1.38,58.09
img_338.npy,1.25,50.60
img_339.npy,1.36,52.84
img_34.npy,1.39,61.14
img_340.npy,1.44,60.28
img_341.npy,1.41,50.01
img_342.npy,1.42,54.01
img_343.npy,1.44,52.68
img_344.npy,1.34,57.34
img_345.npy,1.27,53.29
img_346.npy,1.39,62.44
img_347.npy,1.37,57.66
img_348.npy,1.22,48.82
img_349.npy,1.35,53.64
img_35.npy,1.38,61.02
img_350.npy,1.37,56.99
img_351.npy,1.70,48.87
img_352.npy,1.56,62.95
img_353.npy,1.28,54.51
img_354.npy,1.30,54.00
img_355.npy,1.50,54.51
img_356.npy,1.47,54.26
img_357.npy,1.38,58.87
img_358.npy,1.41,52.92
img_359.npy,1.21,52.47
img_36.npy,1.22,51.99
img_360.npy,1.30,51.39
img_361.npy,1.29,57.57
img_362.npy,1.38,52.96
img_363.npy,1.26,54.32
img_364.npy,1.47,59.98
img_365.npy,1.28,56.66
img_366.npy,1.53,57.50
img_367.npy,1.42,62.81
img_368.npy,1.53,58.94
img_369.npy,1.47,51.30
img_37.npy,1.23,57.34
img_370.npy,1.50,61.04
img_371.npy,1.39,51.54
img_372.npy,1.48,54.51
img_373.npy,1.40,60.07
img_374.npy,1.35,52.78
img_375.npy,1.73,58.64
img_376.npy,1.53,58.96
img_377.npy,1.19,54.27
img_378.npy,1.38,62.61
img_379.npy,1.52,59.65
img_38.npy,1.25,49.31
img_380.npy,1.40,47.11
img_381.npy,1.12,47.00
img_382.npy,1.36,56.02
img_383.npy,1.42,54.37
img_384.npy,1.27,56.19
img_385.npy,1.87,53.83
img_386.npy,1.57,60.99
img_387.npy,1.53,57.26
img_388.npy,1.43,52.39
img_389.npy,1.15,58.65
img_39.npy,1.37,53.59
img_390.npy,1.31,53.31
img_391.npy,1.44,60.83
img_392.npy,1.22,56.14
img_393.npy,1.45,56.22
img_394.npy,1.17,50.93
img_395.npy,1.51,65.87
img_396.npy,1.28,51.38
img_397.npy,1.35,52.56
img_398.npy,1.52,57.86
img_399.npy,1.29,57.43
img_4.npy,1.28,52.54
img_40.npy,1.24,47.85
img_400.npy,1.38,58.57
