filename,time_s,peak_memory_mb
img_0.npy,1.30,24.18
img_1.npy,1.08,23.98
img_10.npy,0.68,23.89
img_100.npy,0.70,22.64
img_1000.npy,1.05,23.56
img_1001.npy,0.87,23.39
img_1002.npy,1.06,23.96
img_1003.npy,0.94,21.80
img_1004.npy,1.08,23.26
img_1005.npy,0.92,23.21
img_1006.npy,0.93,24.50
img_1007.npy,0.94,23.90
img_1008.npy,0.91,23.90
img_1009.npy,1.05,21.95
img_101.npy,1.15,23.46
img_1010.npy,1.02,22.10
img_1011.npy,0.97,22.17
img_1012.npy,0.88,21.72
img_1013.npy,0.93,22.97
img_1014.npy,0.89,23.20
img_1015.npy,1.22,23.63
img_1016.npy,0.73,21.25
img_1017.npy,0.92,23.74
img_1018.npy,1.02,22.84
img_1019.npy,1.25,24.00
img_102.npy,0.82,21.82
img_1020.npy,0.87,22.45
img_1021.npy,1.02,23.68
img_1022.npy,0.79,22.18
img_1023.npy,0.99,21.73
img_1024.npy,0.93,22.78
img_1025.npy,1.01,22.97
img_1026.npy,0.93,22.77
img_1027.npy,0.83,23.04
img_1028.npy,1.01,23.22
img_1029.npy,0.87,23.59
img_103.npy,0.92,23.99
img_1030.npy,0.85,23.00
img_1031.npy,1.01,23.26
img_1032.npy,0.85,22.11
img_1033.npy,0.77,23.88
img_1034.npy,0.88,22.78
img_1035.npy,0.82,23.56
img_1036.npy,1.06,23.05
img_1037.npy,0.64,22.37
img_1038.npy,0.81,22.82
img_1039.npy,1.07,21.52
img_104.npy,0.92,24.40
img_1040.npy,0.93,24.00
img_1041.npy,0.76,22.11
img_1042.npy,0.88,23.93
img_1043.npy,0.94,24.39
img_1044.npy,1.06,24.77
img_1045.npy,0.93,23.22
img_1046.npy,0.94,22.01
img_1047.npy,0.86,21.86
img_1048.npy,0.94,23.62
img_1049.npy,0.83,21.56
img_105.npy,0.96,22.59
img_1050.npy,0.87,22.54
img_1051.npy,0.89,25.02
img_1052.npy,0.85,22.46
img_1053.npy,1.02,23.76
img_1054.npy,0.90,22.68
img_1055.npy,0.96,22.77
img_1056.npy,1.13,22.73
img_1057.npy,1.03,23.08
img_1058.npy,1.00,22.15
img_1059.npy,0.86,24.33
img_106.npy,1.02,23.31
img_1060.npy,0.76,23.05
img_1061.npy,0.92,23.62
img_1062.npy,0.87,22.98
img_1063.npy,0.85,22.62
img_1064.npy,0.87,24.67
img_1065.npy,0.87,23.03
img_1066.npy,0.83,23.07
img_1067.npy,0.83,24.13
img_1068.npy,0.94,22.48
img_1069.npy,0.96,23.61
img_107.npy,0.84,24.55
img_1070.npy,0.77,23.53
img_1071.npy,0.84,23.37
img_1072.npy,0.87,23.61
img_1073.npy,0.94,24.02
img_1074.npy,0.78,23.25
img_1075.npy,0.78,24.01
img_1076.npy,0.87,23.08
img_1077.npy,0.97,23.28
img_1078.npy,0.88,23.69
img_1079.npy,0.91,22.61
img_108.npy,0.80,24.82
img_1080.npy,0.85,24.36
img_1081.npy,0.92,22.00
img_1082.npy,1.01,23.74
img_1083.npy,0.67,22.61
img_1084.npy,1.01,22.35
img_1085.npy,0.73,23.26
img_1086.npy,0.80,21.93
img_1087.npy,0.95,23.04
img_1088.npy,0.85,23.82
img_1089.npy,0.89,22.35
img_109.npy,0.94,23.88
img_1090.npy,0.79,25.20
img_1091.npy,0.90,22.10
img_1092.npy,0.90,23.77
img_1093.npy,0.92,23.25
img_1094.npy,0.88,23.30
img_1095.npy,0.81,22.00
img_1096.npy,1.01,22.84
img_1097.npy,0.87,24.30
img_1098.npy,0.75,24.77
img_1099.npy,0.65,21.79
img_11.npy,0.97,23.91
img_110.npy,0.74,21.88
img_1100.npy,0.74,23.77
img_1101.npy,0.91,23.55
img_1102.npy,0.71,22.88
img_1103.npy,0.86,22.39
img_1104.npy,0.98,23.14
img_1105.npy,1.06,23.62
img_1106.npy,0.98,22.95
img_1107.npy,0.81,23.30
img_1108.npy,0.78,23.78
img_1109.npy,0.92,22.93
img_111.npy,0.97,21.89
img_1110.npy,1.00,23.08
img_1111.npy,0.84,24.29
img_1112.npy,0.80,23.98
img_1113.npy,0.83,23.27
img_1114.npy,0.83,24.05
img_1115.npy,0.93,24.35
img_1116.npy,0.94,23.50
img_1117.npy,0.73,22.48
img_1118.npy,0.97,23.48
img_1119.npy,0.86,23.81
img_112.npy,0.88,23.41
img_1120.npy,0.84,23.43
img_1121.npy,0.99,22.17
img_1122.npy,0.83,25.72
img_1123.npy,0.77,22.85
img_1124.npy,0.72,22.16
img_1125.npy,1.11,21.70
img_1126.npy,0.89,23.22
img_1127.npy,0.97,23.05
img_1128.npy,0.84,22.79
img_1129.npy,0.76,22.70
img_113.npy,0.84,24.34
img_1130.npy,1.11,23.80
img_1131.npy,0.81,24.58
img_1132.npy,0.88,23.38
img_1133.npy,1.07,22.03
img_1134.npy,0.96,22.89
img_1135.npy,0.78,23.17
img_1136.npy,0.89,24.45
img_1137.npy,0.73,23.18
img_1138.npy,0.99,21.87
img_1139.npy,0.92,23.04
img_114.npy,0.95,23.16
img_1140.npy,0.93,22.28
img_1141.npy,0.92,23.64
img_1142.npy,0.95,22.65
img_1143.npy,1.03,23.59
img_1144.npy,0.87,23.95
img_1145.npy,0.93,24.13
img_1146.npy,0.80,21.87
img_1147.npy,0.87,23.83
img_1148.npy,0.99,22.64
img_1149.npy,0.77,23.15
img_115.npy,1.00,22.96
img_1150.npy,0.94,22.82
img_1151.npy,0.75,23.57
img_1152.npy,0.99,23.30
img_1153.npy,0.96,23.15
img_1154.npy,0.94,23.12
img_1155.npy,0.80,23.31
img_1156.npy,0.70,23.15
img_1157.npy,0.88,23.20
img_1158.npy,1.00,22.70
img_1159.npy,1.03,23.23
img_116.npy,0.72,21.88
img_1160.npy,0.84,22.22
img_1161.npy,0.94,22.59
img_1162.npy,0.81,22.07
img_1163.npy,0.90,22.77
img_1164.npy,0.78,22.77
img_1165.npy,0.87,23.22
img_1166.npy,0.91,23.59
img_1167.npy,0.76,23.29
img_1168.npy,0.91,25.01
img_1169.npy,0.79,22.05
img_117.npy,0.85,23.55
img_1170.npy,0.99,22.79
img_1171.npy,0.98,22.51
img_1172.npy,0.82,24.18
img_1173.npy,0.80,22.97
img_1174.npy,0.92,21.95
img_1175.npy,0.85,22.42
img_1176.npy,0.96,22.09
img_1177.npy,0.92,23.42
img_1178.npy,0.92,23.32
img_1179.npy,0.88,23.07
img_118.npy,0.88,23.36
img_1180.npy,0.99,23.45
img_1181.npy,0.90,22.80
img_1182.npy,0.95,22.19
img_1183.npy,0.90,21.63
img_1184.npy,0.88,23.81
img_1185.npy,1.09,24.32
img_1186.npy,0.78,22.76
img_1187.npy,0.94,23.47
img_1188.npy,0.85,22.74
img_1189.npy,0.87,23.82
img_119.npy,0.98,24.72
img_1190.npy,0.92,25.39
img_1191.npy,1.02,22.69
img_1192.npy,1.02,22.98
img_1193.npy,0.95,22.69
img_1194.npy,0.93,24.20
img_1195.npy,0.89,22.19
img_1196.npy,0.92,23.38
img_1197.npy,1.01,23.12
img_1198.npy,0.83,23.84
img_1199.npy,0.75,22.40
img_12.npy,1.05,23.22
img_120.npy,0.93,23.93
img_1200.npy,0.67,23.85
img_1201.npy,1.00,22.23
img_1202.npy,0.93,23.77
img_1203.npy,0.87,23.11
img_1204.npy,0.92,22.40
img_1205.npy,0.78,22.27
img_1206.npy,0.90,23.52
img_1207.npy,0.85,23.85
img_1208.npy,0.76,22.48
img_1209.npy,0.82,21.05
img_121.npy,0.77,24.27
img_1210.npy,0.90,22.57
img_1211.npy,0.87,23.05
img_1212.npy,0.82,22.41
img_1213.npy,0.93,24.27
img_1214.npy,0.86,23.60
img_1215.npy,0.78,23.11
img_1216.npy,0.96,24.61
img_1217.npy,0.79,21.73
img_1218.npy,0.79,21.87
img_1219.npy,0.87,22.71
img_122.npy,0.95,23.36
img_1220.npy,0.75,22.73
img_1221.npy,0.96,22.73
img_1222.npy,0.93,23.79
img_1223.npy,0.80,22.79
img_1224.npy,1.02,22.79
img_1225.npy,0.90,24.86
img_1226.npy,0.78,22.55
img_1227.npy,0.85,22.91
img_1228.npy,0.89,23.73
img_1229.npy,0.79,23.63
img_123.npy,1.07,22.11
img_1230.npy,0.81,22.69
img_1231.npy,0.69,23.28
img_1232.npy,0.99,22.84
img_1233.npy,0.83,22.98
img_1234.npy,0.81,21.94
img_1235.npy,0.80,24.00
img_1236.npy,1.04,23.28
img_1237.npy,0.84,23.50
img_1238.npy,0.99,24.10
img_1239.npy,0.80,22.32
img_124.npy,1.17,22.74
img_1240.npy,0.82,22.31
img_1241.npy,0.88,22.12
img_1242.npy,0.89,24.12
img_1243.npy,1.01,23.96
img_1244.npy,0.92,23.78
img_1245.npy,0.90,22.68
img_1246.npy,1.01,22.03
img_1247.npy,0.94,22.03
img_1248.npy,1.00,22.63
img_1249.npy,1.04,21.62
img_125.npy,0.85,23.19
img_1250.npy,1.05,23.03
img_1251.npy,0.94,22.34
img_1252.npy,0.96,23.40
img_1253.npy,0.80,24.00
img_1254.npy,1.14,22.93
img_1255.npy,0.88,23.48
img_1256.npy,0.88,23.52
img_1257.npy,0.70,24.63
img_1258.npy,0.71,22.71
img_1259.npy,0.97,22.44
img_126.npy,1.07,21.68
img_1260.npy,0.95,22.96
img_1261.npy,0.93,23.36
img_1262.npy,0.86,22.11
img_1263.npy,0.91,22.75
img_1264.npy,0.75,23.62
img_1265.npy,0.82,23.71
img_1266.npy,0.75,23.82
img_1267.npy,0.88,22.53
img_1268.npy,0.87,23.21
img_1269.npy,0.98,23.16
img_127.npy,1.04,23.43
img_1270.npy,0.89,22.98
img_1271.npy,0.79,24.43
img_1272.npy,1.02,22.71
img_1273.npy,1.18,23.48
img_1274.npy,0.86,24.41
img_1275.npy,0.85,23.06
img_1276.npy,0.86,22.52
img_1277.npy,0.77,23.68
img_1278.npy,0.90,24.18
img_1279.npy,0.74,22.75
img_128.npy,0.97,23.68
img_1280.npy,0.88,22.17
img_1281.npy,1.01,22.92
img_1282.npy,0.91,23.92
img_1283.npy,0.93,23.59
img_1284.npy,0.79,22.19
img_1285.npy,0.87,23.49
img_1286.npy,0.73,24.30
img_1287.npy,0.84,23.44
img_1288.npy,0.71,23.56
img_1289.npy,0.78,23.76
img_129.npy,1.06,24.23
img_1290.npy,1.11,24.59
img_1291.npy,0.81,24.09
img_1292.npy,0.86,22.90
img_1293.npy,0.99,21.14
img_1294.npy,1.04,23.09
img_1295.npy,0.86,22.38
img_1296.npy,0.79,24.00
img_1297.npy,0.97,22.15
img_1298.npy,0.89,21.98
img_1299.npy,0.91,23.47
img_13.npy,1.02,24.62
img_130.npy,0.87,23.07
img_1300.npy,0.86,22.31
img_1301.npy,1.00,22.32
img_1302.npy,1.04,23.15
img_1303.npy,0.89,23.41
img_1304.npy,0.83,22.04
img_1305.npy,0.72,23.25
img_1306.npy,1.03,21.91
img_1307.npy,0.98,22.18
img_1308.npy,0.83,21.92
img_1309.npy,0.93,23.58
img_131.npy,0.83,23.03
img_1310.npy,0.92,23.86
img_1311.npy,0.89,22.37
img_1312.npy,0.93,24.64
img_1313.npy,0.86,23.81
img_1314.npy,0.98,23.79
img_1315.npy,0.87,23.56
img_1316.npy,0.95,23.16
img_1317.npy,0.88,23.69
img_1318.npy,0.75,23.91
img_1319.npy,0.78,23.88
img_132.npy,0.79,22.79
