filename,time_s,peak_memory_mb
img_0.npy,22.38,672.80
img_1.npy,10.46,672.55
img_10.npy,13.32,672.53
img_11.npy,12.22,703.15
img_12.npy,16.94,697.21
img_13.npy,13.20,742.68
img_14.npy,10.41,672.18
img_15.npy,10.90,677.01
img_16.npy,14.50,672.59
img_17.npy,13.97,672.60
img_18.npy,13.20,672.36
img_19.npy,9.61,674.21
img_2.npy,15.31,672.66
img_20.npy,10.58,672.31
img_21.npy,27.18,1055.04
img_22.npy,26.74,1154.13
img_23.npy,6.78,675.31
img_24.npy,14.07,702.86
img_25.npy,14.45,740.54
img_26.npy,9.97,672.73
img_27.npy,10.38,672.92
img_28.npy,9.80,672.02
img_29.npy,9.36,675.23
img_3.npy,7.57,672.45
img_4.npy,10.36,672.99
img_5.npy,25.00,1054.87
img_6.npy,29.06,1154.12
img_7.npy,6.02,672.48
img_8.npy,7.39,675.21
img_9.npy,13.35,705.01
