filename,time_s,peak_memory_mb
img_0.npy,6.99,120.06
img_1.npy,6.14,121.87
img_10.npy,6.23,118.97
img_100.npy,6.38,110.70
img_101.npy,5.84,111.76
img_102.npy,5.87,112.05
img_103.npy,5.33,112.83
img_104.npy,5.73,111.50
img_105.npy,5.90,111.16
img_106.npy,5.62,110.54
img_107.npy,6.19,110.33
img_108.npy,5.50,118.59
img_109.npy,5.33,131.18
img_11.npy,5.63,114.55
img_110.npy,5.70,131.13
img_111.npy,5.67,131.20
img_112.npy,5.54,116.68
img_113.npy,5.77,125.15
img_114.npy,5.56,109.95
img_115.npy,6.02,118.68
img_116.npy,5.38,117.00
img_117.npy,5.99,109.96
img_118.npy,6.15,111.27
img_119.npy,5.93,113.41
img_12.npy,5.75,112.27
img_120.npy,5.95,110.09
img_121.npy,6.12,108.66
img_122.npy,5.50,109.86
img_123.npy,5.60,111.63
img_124.npy,5.53,111.11
img_125.npy,5.79,117.12
img_126.npy,5.66,110.64
img_127.npy,5.34,112.57
img_128.npy,5.62,111.14
img_129.npy,5.44,110.07
img_13.npy,5.82,117.14
img_130.npy,5.76,118.93
img_131.npy,5.58,118.04
img_132.npy,5.64,118.62
img_133.npy,5.38,118.18
img_134.npy,5.52,118.05
img_135.npy,5.64,117.72
img_136.npy,5.79,116.58
img_137.npy,5.66,111.77
img_138.npy,5.99,113.70
img_139.npy,5.52,112.62
img_14.npy,5.59,112.84
img_140.npy,5.86,111.49
img_141.npy,5.84,119.12
img_142.npy,5.90,133.21
img_143.npy,5.80,126.55
img_144.npy,6.01,130.58
img_145.npy,6.13,130.64
img_146.npy,6.19,111.30
img_147.npy,5.79,117.52
img_148.npy,5.71,118.42
img_149.npy,5.85,113.62
img_15.npy,5.64,111.48
img_150.npy,6.00,109.65
img_151.npy,5.85,110.18
img_152.npy,5.99,110.32
img_153.npy,5.73,111.55
img_154.npy,5.11,110.72
img_155.npy,5.64,110.38
img_156.npy,5.81,116.95
img_157.npy,5.87,118.57
img_158.npy,5.64,111.33
img_159.npy,5.68,118.10
img_16.npy,5.99,118.29
img_160.npy,5.49,117.48
img_161.npy,5.79,111.98
img_162.npy,5.96,109.69
img_163.npy,5.84,109.81
img_164.npy,5.77,108.73
img_165.npy,5.81,111.42
img_166.npy,5.39,123.30
img_167.npy,6.24,125.58
img_168.npy,5.73,121.17
img_169.npy,5.36,120.34
img_17.npy,5.26,111.82
img_170.npy,5.36,112.93
img_171.npy,5.98,111.66
img_172.npy,5.26,110.57
img_173.npy,5.81,111.30
img_174.npy,5.41,112.63
img_175.npy,5.83,113.53
img_176.npy,5.71,118.12
img_177.npy,5.16,116.82
img_178.npy,5.69,123.85
img_179.npy,5.90,115.96
img_18.npy,5.71,113.91
img_180.npy,5.75,109.60
img_181.npy,5.91,109.84
img_182.npy,5.99,111.14
img_183.npy,5.73,113.37
img_184.npy,5.59,111.30
img_185.npy,5.32,112.03
img_186.npy,5.51,110.65
img_187.npy,6.10,110.64
img_188.npy,5.76,111.18
img_189.npy,5.71,111.90
img_19.npy,5.80,114.32
img_190.npy,5.64,110.95
img_191.npy,5.65,112.68
img_192.npy,5.53,110.85
img_193.npy,6.20,115.23
img_194.npy,5.56,120.60
img_195.npy,5.49,117.65
img_196.npy,6.08,117.31
img_197.npy,5.73,117.04
img_198.npy,5.76,112.79
img_199.npy,5.66,112.68
img_2.npy,5.28,111.19
img_20.npy,5.09,112.44
img_200.npy,5.08,113.29
img_201.npy,5.53,110.63
img_202.npy,5.70,110.64
img_203.npy,5.23,111.03
img_204.npy,5.04,113.23
img_205.npy,5.41,115.21
img_206.npy,6.25,119.08
img_207.npy,5.94,125.26
img_208.npy,5.96,117.57
img_209.npy,5.54,111.84
img_21.npy,5.29,112.33
img_210.npy,5.59,109.23
img_211.npy,5.80,123.90
img_212.npy,5.50,122.73
img_213.npy,5.30,112.63
img_214.npy,5.43,122.07
img_215.npy,5.81,119.14
img_216.npy,5.32,120.00
img_217.npy,5.64,117.62
img_218.npy,5.18,110.65
img_219.npy,5.91,117.82
img_22.npy,5.61,116.80
img_220.npy,5.30,117.09
img_221.npy,5.62,113.56
img_222.npy,5.37,110.62
img_223.npy,5.46,111.39
img_224.npy,5.59,113.06
img_225.npy,5.27,112.21
img_226.npy,5.47,110.50
img_227.npy,5.82,110.54
img_228.npy,5.51,113.46
img_229.npy,5.78,111.20
img_23.npy,5.83,110.17
img_230.npy,5.18,112.27
img_231.npy,5.75,110.60
img_232.npy,5.48,108.05
img_233.npy,5.74,114.35
img_234.npy,5.63,111.88
img_235.npy,5.97,120.02
img_236.npy,5.34,130.35
img_237.npy,5.73,118.71
img_238.npy,5.66,118.69
img_239.npy,5.80,109.75
img_24.npy,5.23,119.86
img_240.npy,5.33,118.91
img_241.npy,5.84,115.73
img_242.npy,5.76,111.30
img_243.npy,5.80,112.34
img_244.npy,5.84,109.22
img_245.npy,5.48,111.95
img_246.npy,5.23,113.44
img_247.npy,5.55,118.62
img_248.npy,5.07,112.16
img_249.npy,5.01,118.09
img_25.npy,5.17,118.90
img_250.npy,5.57,116.66
img_251.npy,5.71,116.68
img_252.npy,5.55,108.28
img_253.npy,5.23,111.80
img_254.npy,5.49,110.24
img_255.npy,5.31,118.02
img_256.npy,5.32,118.26
