filename,time_s,peak_memory_mb
img_0.npy,7.05,205.19
img_1.npy,5.91,198.16
img_10.npy,6.15,198.73
img_100.npy,6.26,199.79
img_1000.npy,5.56,199.48
img_1001.npy,5.65,199.33
img_1002.npy,5.20,199.60
img_1003.npy,5.58,200.45
img_1004.npy,5.62,204.89
img_1005.npy,5.42,207.51
img_1006.npy,5.91,198.43
img_1007.npy,5.49,209.15
img_1008.npy,5.71,203.18
img_1009.npy,5.44,200.61
img_101.npy,5.65,199.59
img_1010.npy,5.96,199.99
img_1011.npy,5.17,197.70
img_1012.npy,5.67,199.99
img_1013.npy,5.18,210.45
img_1014.npy,5.87,211.84
img_1015.npy,5.35,199.54
img_1016.npy,5.47,216.13
img_1017.npy,5.74,221.33
img_1018.npy,5.69,208.18
img_1019.npy,5.23,226.72
img_102.npy,5.46,202.40
img_1020.npy,5.76,220.40
img_1021.npy,5.87,217.09
img_1022.npy,5.24,209.02
img_1023.npy,5.25,212.34
img_1024.npy,5.32,199.60
img_1025.npy,5.71,196.98
img_1026.npy,5.38,200.14
img_1027.npy,5.62,198.38
img_1028.npy,5.23,199.55
img_1029.npy,5.57,200.77
img_103.npy,5.78,197.23
img_1030.npy,5.51,199.82
img_1031.npy,5.46,199.07
img_1032.npy,5.69,199.93
img_1033.npy,5.73,200.22
img_1034.npy,5.60,197.69
img_1035.npy,5.59,201.35
img_1036.npy,5.67,197.80
img_1037.npy,5.49,198.84
img_1038.npy,6.01,199.03
img_1039.npy,5.41,199.38
img_104.npy,5.32,200.22
img_1040.npy,5.80,201.99
img_1041.npy,6.02,201.07
img_1042.npy,5.74,200.14
img_1043.npy,5.68,200.51
img_1044.npy,5.77,199.60
img_1045.npy,5.91,204.95
img_1046.npy,5.70,209.30
img_1047.npy,5.33,211.06
img_1048.npy,5.58,201.05
img_1049.npy,5.66,210.72
img_105.npy,5.67,215.01
img_1050.npy,5.84,216.55
img_1051.npy,5.37,218.77
img_1052.npy,5.87,200.82
img_1053.npy,5.69,217.71
img_1054.npy,5.33,215.88
img_1055.npy,5.34,213.65
img_1056.npy,5.58,209.16
img_1057.npy,6.04,203.52
img_1058.npy,5.66,201.46
img_1059.npy,5.80,198.93
img_106.npy,5.53,200.19
img_1060.npy,5.80,206.99
img_1061.npy,5.48,202.27
img_1062.npy,5.57,214.57
img_1063.npy,5.28,222.71
img_1064.npy,5.79,212.34
img_1065.npy,5.38,215.08
img_1066.npy,5.56,200.21
img_1067.npy,5.18,199.33
img_1068.npy,6.11,202.35
img_1069.npy,5.67,198.08
img_107.npy,5.31,199.66
img_1070.npy,5.28,198.79
img_1071.npy,5.09,200.62
img_1072.npy,5.66,199.91
img_1073.npy,5.28,199.40
img_1074.npy,5.67,200.34
img_1075.npy,5.41,200.81
img_1076.npy,5.91,197.98
img_1077.npy,5.29,203.37
img_1078.npy,5.04,201.11
img_1079.npy,5.35,200.33
img_108.npy,5.66,196.52
img_1080.npy,5.43,198.89
img_1081.npy,5.41,201.09
img_1082.npy,5.54,199.06
img_1083.npy,5.77,198.45
img_1084.npy,5.67,196.16
img_1085.npy,5.56,209.71
img_1086.npy,5.53,209.44
img_1087.npy,5.47,208.62
img_1088.npy,5.59,206.91
img_1089.npy,5.75,200.34
img_109.npy,5.38,198.52
img_1090.npy,5.15,199.04
img_1091.npy,5.44,216.56
img_1092.npy,5.46,217.59
img_1093.npy,5.62,199.94
img_1094.npy,5.25,221.09
img_1095.npy,5.89,216.61
img_1096.npy,5.38,197.75
img_1097.npy,5.44,201.00
img_1098.npy,5.82,199.30
img_1099.npy,5.65,202.74
img_11.npy,5.70,200.14
img_110.npy,5.70,198.84
img_1100.npy,4.79,200.99
img_1101.npy,5.23,201.89
img_1102.npy,5.07,202.01
img_1103.npy,5.61,198.78
img_1104.npy,5.20,204.18
img_1105.npy,5.56,199.94
img_1106.npy,5.13,194.94
img_1107.npy,5.25,200.93
img_1108.npy,6.00,204.09
img_1109.npy,5.45,203.61
img_111.npy,5.57,202.40
img_1110.npy,5.46,200.59
img_1111.npy,5.44,201.98
img_1112.npy,5.35,199.81
img_1113.npy,5.75,198.76
img_1114.npy,5.65,199.27
img_1115.npy,5.31,207.91
img_1116.npy,4.91,203.70
img_1117.npy,5.51,196.90
img_1118.npy,5.49,195.26
img_1119.npy,5.45,198.24
img_112.npy,5.16,200.55
img_1120.npy,5.53,215.09
img_1121.npy,5.54,199.00
img_1122.npy,5.39,203.60
img_1123.npy,5.40,199.29
img_1124.npy,5.50,216.58
img_1125.npy,5.28,226.93
img_1126.npy,5.41,208.98
img_1127.npy,5.41,226.63
img_1128.npy,5.21,200.53
img_1129.npy,5.47,219.20
img_113.npy,5.57,214.88
img_1130.npy,5.31,215.30
img_1131.npy,5.77,212.88
img_1132.npy,5.69,199.37
img_1133.npy,5.37,211.11
img_1134.npy,5.43,211.19
img_1135.npy,5.13,207.38
img_1136.npy,5.24,199.89
img_1137.npy,5.32,200.55
img_1138.npy,5.48,203.16
img_1139.npy,5.61,202.57
img_114.npy,5.18,198.08
img_1140.npy,5.20,207.28
img_1141.npy,5.49,209.20
img_1142.npy,5.36,208.78
img_1143.npy,5.21,201.95
img_1144.npy,5.54,210.22
img_1145.npy,5.33,199.70
img_1146.npy,5.42,219.32
img_1147.npy,5.72,218.66
img_1148.npy,5.60,206.07
img_1149.npy,5.19,220.57
img_115.npy,5.47,203.88
img_1150.npy,5.22,208.43
img_1151.npy,5.36,203.05
img_1152.npy,5.03,200.02
img_1153.npy,5.32,199.26
img_1154.npy,5.52,196.50
img_1155.npy,5.40,206.10
img_1156.npy,5.20,202.90
img_1157.npy,5.46,198.25
img_1158.npy,4.94,201.37
img_1159.npy,5.66,198.78
img_116.npy,5.59,197.93
img_1160.npy,5.11,200.01
img_1161.npy,5.14,206.89
img_1162.npy,5.03,208.48
img_1163.npy,5.68,199.57
img_1164.npy,5.35,208.32
img_1165.npy,5.45,206.35
img_1166.npy,5.28,202.56
img_1167.npy,5.01,201.56
img_1168.npy,5.14,200.43
img_1169.npy,5.16,201.64
img_117.npy,5.06,226.35
img_1170.npy,5.18,204.05
img_1171.npy,5.15,204.38
img_1172.npy,4.93,198.65
img_1173.npy,5.00,200.65
img_1174.npy,4.99,198.39
img_1175.npy,5.05,199.77
img_1176.npy,5.05,201.88
img_1177.npy,4.92,198.91
img_1178.npy,4.98,200.27
img_1179.npy,4.95,199.68
img_118.npy,5.20,201.91
img_1180.npy,4.72,198.70
img_1181.npy,4.73,198.36
img_1182.npy,4.77,199.32
img_1183.npy,4.62,197.06
img_1184.npy,5.25,201.74
img_1185.npy,4.79,201.89
img_1186.npy,4.61,202.40
img_1187.npy,4.96,200.93
img_1188.npy,4.61,202.37
img_1189.npy,4.66,198.95
img_119.npy,5.15,197.14
img_1190.npy,4.74,198.21
img_1191.npy,4.55,199.34
img_1192.npy,4.79,201.06
img_1193.npy,4.61,208.84
img_1194.npy,4.76,208.86
img_1195.npy,4.60,210.04
img_1196.npy,4.93,206.70
img_1197.npy,4.62,199.54
img_1198.npy,4.74,198.39
img_1199.npy,4.37,200.79
img_12.npy,5.27,198.62
img_120.npy,4.99,216.95
img_1200.npy,4.82,217.61
img_1201.npy,4.45,216.33
img_1202.npy,4.62,218.93
img_1203.npy,4.70,208.14
img_1204.npy,4.87,215.46
img_1205.npy,4.52,199.68
img_1206.npy,4.80,207.74
img_1207.npy,4.92,199.09
