filename,time_s,peak_memory_mb
img_0.npy,36.50,259.97
img_1.npy,34.83,242.08
img_10.npy,33.38,261.31
img_11.npy,39.58,266.99
img_12.npy,41.54,262.56
img_13.npy,28.88,265.52
img_14.npy,21.99,234.82
img_15.npy,27.28,266.18
img_16.npy,28.53,242.75
img_17.npy,31.71,263.84
img_18.npy,29.40,258.54
img_19.npy,25.95,264.04
img_2.npy,15.58,239.42
img_20.npy,19.35,263.27
img_21.npy,18.94,266.02
img_22.npy,10.79,265.29
img_23.npy,20.57,238.86
img_24.npy,10.48,273.09
img_25.npy,12.10,239.07
img_26.npy,11.03,272.84
img_27.npy,9.82,245.11
img_28.npy,14.41,270.19
img_29.npy,9.84,239.77
img_3.npy,14.70,261.78
img_4.npy,9.38,273.05
img_5.npy,10.33,263.32
img_6.npy,14.76,265.32
img_7.npy,7.83,272.55
img_8.npy,8.49,270.75
img_9.npy,13.75,265.42
