filename,time_s,peak_memory_mb
img_0.npy,2.15,179.98
img_1.npy,1.80,184.72
img_10.npy,2.03,185.53
img_100.npy,1.93,187.58
img_1000.npy,1.74,182.81
img_10000.npy,2.02,187.11
img_10001.npy,1.77,185.73
img_10002.npy,1.92,187.55
img_10003.npy,1.69,165.91
img_10004.npy,1.95,116.83
img_10005.npy,1.75,119.40
img_10006.npy,1.77,120.20
img_10007.npy,1.90,159.82
img_10008.npy,1.78,188.02
img_10009.npy,1.97,185.77
img_1001.npy,1.89,182.46
img_10010.npy,1.83,186.75
img_10011.npy,1.89,178.21
img_10012.npy,1.90,154.84
img_10013.npy,1.73,177.82
img_10014.npy,1.83,118.97
img_10015.npy,1.93,118.84
img_10016.npy,2.09,139.18
img_10017.npy,1.78,120.50
img_10018.npy,1.76,119.85
img_10019.npy,1.81,118.04
img_1002.npy,1.77,117.96
img_10020.npy,1.72,123.47
img_10021.npy,1.80,118.97
img_10022.npy,1.77,120.36
img_10023.npy,1.82,119.64
img_10024.npy,1.73,117.27
img_10025.npy,1.75,122.44
img_10026.npy,1.91,120.08
img_10027.npy,1.86,117.57
img_10028.npy,1.73,119.80
img_10029.npy,1.74,122.60
img_1003.npy,1.94,120.95
img_10030.npy,1.94,121.55
img_10031.npy,1.94,121.70
img_10032.npy,1.83,118.96
img_10033.npy,1.80,118.21
img_10034.npy,1.70,119.74
img_10035.npy,1.75,119.56
img_10036.npy,1.74,122.38
img_10037.npy,1.99,148.41
img_10038.npy,1.74,181.37
img_10039.npy,1.79,174.51
img_1004.npy,1.80,185.21
img_10040.npy,1.84,187.02
img_10041.npy,1.90,187.93
img_10042.npy,2.00,186.75
img_10043.npy,1.83,186.86
img_10044.npy,1.80,188.08
img_10045.npy,1.71,184.44
img_10046.npy,1.68,186.61
img_10047.npy,1.84,186.52
img_10048.npy,1.66,187.16
img_10049.npy,1.74,186.26
img_1005.npy,1.93,183.70
img_10050.npy,1.99,180.21
img_10051.npy,1.80,186.10
img_10052.npy,1.90,167.00
