filename,time_s,peak_memory_mb
img_0.npy,23.83,368.27
img_1.npy,24.13,363.92
img_10.npy,24.90,372.61
img_100.npy,23.99,374.10
img_101.npy,24.30,360.81
img_102.npy,23.99,369.21
img_103.npy,23.65,356.54
img_104.npy,24.76,352.01
img_105.npy,23.98,369.99
img_106.npy,25.11,360.14
img_107.npy,22.93,367.32
img_108.npy,25.59,364.07
img_109.npy,23.28,366.36
img_11.npy,24.13,361.07
img_110.npy,25.52,351.86
img_111.npy,25.65,376.48
img_112.npy,23.34,370.57
img_113.npy,24.55,346.22
img_114.npy,24.82,362.61
img_115.npy,24.11,358.43
img_116.npy,25.52,385.48
img_117.npy,23.07,373.45
img_118.npy,24.95,369.34
img_119.npy,24.44,356.71
img_12.npy,24.04,370.98
img_120.npy,25.53,344.44
img_121.npy,24.55,372.92
img_122.npy,22.70,363.64
img_123.npy,25.08,373.23
img_124.npy,24.01,375.62
img_125.npy,24.97,379.92
img_126.npy,23.92,383.14
img_127.npy,23.32,356.48
img_128.npy,23.65,355.23
img_129.npy,24.27,350.29
img_13.npy,24.29,343.79
img_130.npy,25.74,368.53
img_131.npy,22.61,374.66
img_132.npy,26.03,348.96
img_133.npy,24.59,376.26
img_134.npy,23.13,383.12
img_135.npy,24.42,353.27
img_136.npy,23.79,365.46
img_137.npy,26.42,350.50
img_138.npy,23.68,382.34
img_139.npy,24.08,361.36
img_14.npy,23.63,370.66
img_140.npy,25.50,368.81
img_141.npy,24.40,374.16
img_142.npy,24.16,372.42
img_143.npy,22.30,366.44
img_144.npy,24.04,357.44
img_145.npy,23.57,346.17
img_146.npy,24.31,352.49
img_147.npy,24.97,349.86
img_148.npy,24.31,350.38
img_149.npy,23.46,360.35
img_15.npy,24.63,372.84
img_150.npy,24.63,361.32
img_151.npy,25.79,349.51
img_152.npy,24.15,374.81
img_153.npy,24.44,369.69
img_154.npy,23.49,368.83
img_155.npy,22.74,367.76
img_156.npy,24.14,368.84
img_157.npy,24.85,340.73
img_158.npy,24.85,370.67
img_159.npy,23.90,373.66
img_16.npy,22.79,370.53
img_160.npy,24.65,350.14
img_161.npy,23.84,381.34
img_162.npy,24.49,366.82
img_163.npy,25.46,358.56
img_164.npy,24.10,384.41
img_165.npy,22.89,375.62
img_166.npy,25.39,364.50
img_167.npy,24.28,362.48
img_168.npy,23.98,375.01
img_169.npy,22.93,369.47
img_17.npy,24.53,354.46
img_170.npy,24.91,341.08
img_171.npy,25.63,358.80
img_172.npy,23.73,385.40
img_173.npy,25.32,359.17
img_174.npy,24.00,366.12
img_175.npy,23.60,351.42
img_176.npy,25.01,329.96
img_177.npy,23.11,368.94
img_178.npy,24.09,349.03
img_179.npy,25.32,357.79
img_18.npy,22.71,378.95
img_180.npy,24.58,373.68
img_181.npy,24.70,372.19
img_182.npy,22.62,365.64
img_183.npy,24.80,339.95
img_184.npy,25.32,354.56
img_185.npy,23.98,370.90
img_186.npy,24.06,381.23
img_187.npy,24.39,376.21
img_188.npy,22.84,377.88
img_189.npy,25.44,334.65
img_19.npy,23.41,380.24
img_190.npy,25.20,355.64
img_191.npy,23.28,369.16
img_192.npy,24.81,397.56
img_193.npy,25.79,343.41
img_194.npy,23.75,377.40
img_195.npy,24.40,377.48
img_196.npy,23.95,377.54
img_197.npy,23.73,381.73
img_198.npy,25.47,375.99
img_199.npy,23.01,374.66
img_2.npy,24.28,366.67
img_20.npy,23.79,355.15
img_200.npy,26.26,381.70
img_201.npy,22.66,369.05
img_202.npy,25.21,365.21
img_203.npy,22.95,378.57
img_204.npy,24.13,338.37
img_205.npy,24.16,371.20
img_206.npy,24.19,369.66
img_207.npy,24.25,351.66
img_208.npy,23.93,368.83
img_209.npy,24.62,373.97
img_21.npy,23.95,362.37
img_210.npy,24.12,368.34
img_211.npy,24.92,367.27
img_212.npy,24.40,374.13
img_213.npy,24.90,385.27
img_214.npy,24.09,363.11
img_215.npy,22.82,378.55
img_216.npy,25.30,362.34
img_217.npy,23.97,362.28
img_218.npy,25.57,349.77
img_219.npy,23.51,372.59
img_22.npy,24.77,366.49
img_220.npy,23.45,376.42
img_221.npy,24.13,333.46
img_222.npy,25.96,355.08
img_223.npy,23.87,373.66
img_224.npy,23.33,357.80
img_225.npy,25.64,368.83
img_226.npy,23.75,367.13
img_227.npy,23.78,371.06
img_228.npy,24.06,351.03
img_229.npy,25.38,364.57
img_23.npy,23.94,367.50
img_230.npy,23.45,374.48
img_231.npy,23.35,365.36
img_232.npy,24.70,350.25
img_233.npy,24.48,388.85
img_234.npy,22.96,373.80
img_235.npy,24.38,363.04
img_236.npy,25.05,350.37
img_237.npy,22.92,377.94
img_238.npy,25.05,363.36
img_239.npy,23.95,373.06
img_24.npy,25.97,366.79
img_240.npy,24.30,386.68
img_241.npy,23.65,368.57
img_242.npy,22.93,371.59
img_243.npy,24.50,365.17
img_244.npy,25.16,348.77
img_245.npy,22.53,385.67
img_246.npy,23.95,356.18
img_247.npy,23.36,373.86
img_248.npy,24.31,358.05
img_249.npy,22.01,370.79
img_25.npy,24.19,332.84
img_250.npy,21.59,370.95
img_251.npy,22.33,348.36
img_252.npy,22.16,350.15
img_253.npy,20.67,378.16
img_254.npy,21.24,341.02
img_255.npy,21.08,309.73
img_256.npy,20.75,376.37
img_257.npy,19.94,382.45
img_258.npy,20.72,358.33
img_259.npy,21.37,349.57
img_26.npy,19.00,358.37
img_260.npy,21.41,360.28
img_261.npy,20.38,387.70
img_262.npy,21.15,390.82
img_263.npy,20.96,371.12
img_264.npy,20.49,380.74
img_265.npy,21.53,362.52
img_266.npy,19.61,371.91
img_267.npy,20.64,341.47
img_268.npy,21.35,334.05
img_269.npy,19.36,358.37
img_27.npy,21.59,360.17
img_270.npy,20.02,384.87
img_271.npy,21.42,343.21
img_272.npy,19.54,367.94
img_273.npy,19.54,359.18
img_274.npy,18.78,374.95
img_275.npy,17.15,375.59
img_276.npy,18.81,351.56
img_277.npy,17.46,373.32
img_278.npy,18.09,357.66
img_279.npy,17.90,357.46
img_28.npy,19.01,343.66
img_280.npy,16.76,379.22
img_281.npy,19.10,339.91
img_282.npy,18.44,376.51
img_283.npy,17.48,404.08
img_284.npy,18.83,358.05
img_285.npy,17.90,374.82
img_286.npy,19.14,351.44
img_287.npy,17.31,373.12
img_288.npy,18.75,344.16
img_289.npy,17.35,375.18
img_29.npy,17.80,324.27
img_290.npy,18.29,339.65
img_291.npy,18.30,351.20
img_292.npy,18.15,339.81
img_293.npy,17.68,352.26
img_294.npy,17.93,367.41
img_295.npy,18.76,352.05
img_296.npy,18.14,355.39
img_297.npy,19.45,358.39
img_298.npy,18.54,380.66
img_299.npy,16.81,372.62
img_3.npy,18.08,364.51
img_30.npy,18.37,345.43
img_300.npy,18.61,374.85
img_301.npy,15.73,368.89
img_302.npy,17.61,343.86
img_303.npy,16.64,364.19
img_304.npy,15.31,372.75
img_305.npy,17.07,357.93
img_306.npy,16.37,363.86
img_307.npy,16.36,366.33
img_308.npy,16.69,383.05
img_309.npy,15.76,384.06
img_31.npy,21.44,363.64
img_310.npy,14.96,382.23
img_311.npy,15.62,369.05
img_312.npy,14.99,388.30
img_313.npy,14.77,368.11
img_314.npy,15.99,355.91
img_315.npy,14.64,354.12
img_316.npy,15.16,353.41
img_317.npy,15.11,370.32
img_318.npy,15.69,364.54
img_319.npy,12.65,381.64
img_32.npy,14.12,357.90
img_320.npy,13.06,397.06
img_321.npy,12.89,378.18
img_322.npy,14.82,356.83
img_323.npy,13.50,357.64
img_324.npy,13.83,347.38
img_325.npy,14.33,360.74
img_326.npy,14.58,347.56
img_327.npy,13.63,377.46
img_328.npy,14.07,373.69
img_329.npy,13.14,387.23
img_33.npy,14.39,364.05
img_330.npy,13.42,380.41
img_331.npy,13.07,378.18
img_332.npy,13.64,344.98
img_333.npy,14.30,354.40
img_334.npy,14.16,377.03
img_335.npy,13.01,378.72
img_336.npy,14.23,348.14
img_337.npy,12.84,380.10
img_338.npy,14.17,343.07
img_339.npy,14.45,351.25
img_34.npy,13.63,385.38
img_340.npy,12.94,385.59
img_341.npy,13.92,332.04
img_342.npy,14.43,333.49
img_343.npy,14.44,370.00
img_344.npy,12.70,382.57
img_345.npy,13.41,360.21
img_346.npy,13.62,351.03
img_347.npy,14.28,347.88
img_348.npy,14.11,363.30
img_349.npy,14.08,368.77
img_35.npy,12.96,385.38
img_350.npy,14.92,350.05
img_351.npy,13.77,362.69
img_352.npy,13.51,386.05
img_353.npy,14.00,340.19
img_354.npy,14.22,344.02
img_355.npy,13.20,374.02
img_356.npy,14.04,349.71
img_357.npy,13.59,379.17
img_358.npy,13.60,342.09
img_359.npy,13.97,359.38
img_36.npy,13.63,369.23
img_360.npy,13.64,367.69
