filename,time_s,peak_memory_mb
img_0.npy,22.50,195.70
img_1.npy,25.30,148.19
img_10.npy,23.31,203.21
img_100.npy,25.91,171.90
img_1000.npy,24.65,203.16
img_1001.npy,24.46,203.66
img_1002.npy,23.39,201.93
img_1003.npy,24.91,168.13
img_1004.npy,24.19,182.06
img_1005.npy,24.62,191.93
img_1006.npy,25.23,176.03
img_1007.npy,24.63,201.32
img_1008.npy,23.90,202.43
img_1009.npy,24.27,173.99
img_101.npy,24.53,178.71
img_1010.npy,25.90,164.38
img_1011.npy,26.04,193.79
img_1012.npy,23.77,202.89
img_1013.npy,26.06,172.35
img_1014.npy,24.51,201.60
img_1015.npy,23.45,202.36
img_1016.npy,25.54,193.30
img_1017.npy,25.52,200.24
img_1018.npy,24.15,200.84
img_1019.npy,23.67,199.91
img_102.npy,24.17,151.40
img_1020.npy,25.48,174.41
img_1021.npy,23.30,199.69
img_1022.npy,24.46,192.33
img_1023.npy,26.23,178.13
img_1024.npy,23.21,202.85
img_1025.npy,24.18,175.57
img_1026.npy,25.48,171.75
img_1027.npy,23.69,199.73
img_1028.npy,26.19,176.62
img_1029.npy,23.42,203.78
img_103.npy,25.62,195.70
img_1030.npy,24.04,203.24
img_1031.npy,24.90,162.89
img_1032.npy,26.04,180.95
img_1033.npy,25.22,201.66
img_1034.npy,24.21,200.27
img_1035.npy,24.21,202.53
img_1036.npy,25.83,166.21
img_1037.npy,23.45,201.78
img_1038.npy,25.38,180.33
img_1039.npy,22.89,203.85
img_104.npy,25.52,150.78
img_1040.npy,23.70,199.42
img_1041.npy,24.91,179.05
img_1042.npy,22.51,203.79
img_1043.npy,25.60,153.93
img_1044.npy,24.36,202.88
img_1045.npy,23.91,199.18
img_1046.npy,26.00,180.11
img_1047.npy,23.68,202.98
img_1048.npy,24.36,173.39
img_1049.npy,24.68,150.17
img_105.npy,24.60,173.82
img_1050.npy,25.02,170.83
img_1051.npy,25.31,192.53
img_1052.npy,23.66,203.97
img_1053.npy,25.44,176.20
img_1054.npy,23.60,200.09
img_1055.npy,25.02,168.30
img_1056.npy,24.96,180.20
img_1057.npy,24.67,199.78
img_1058.npy,24.16,201.02
img_1059.npy,24.14,201.88
img_106.npy,24.30,199.88
img_1060.npy,23.91,200.62
img_1061.npy,26.12,176.08
img_1062.npy,24.67,201.68
img_1063.npy,24.50,202.04
img_1064.npy,24.09,203.33
img_1065.npy,24.99,176.05
img_1066.npy,24.48,181.42
img_1067.npy,24.63,191.60
img_1068.npy,25.30,170.43
img_1069.npy,26.64,176.93
img_107.npy,23.69,204.16
img_1070.npy,26.25,169.99
img_1071.npy,23.88,200.79
img_1072.npy,25.72,151.64
img_1073.npy,23.32,201.29
img_1074.npy,25.71,171.13
img_1075.npy,24.99,201.71
img_1076.npy,23.77,203.32
img_1077.npy,25.86,179.68
img_1078.npy,24.68,201.92
img_1079.npy,23.01,202.14
img_108.npy,24.34,169.78
img_1080.npy,26.74,201.24
img_1081.npy,23.99,202.04
img_1082.npy,25.54,178.33
img_1083.npy,22.75,201.25
img_1084.npy,24.46,197.85
img_1085.npy,25.91,170.59
img_1086.npy,23.87,202.64
img_1087.npy,25.31,174.69
img_1088.npy,26.40,189.69
img_1089.npy,23.92,202.78
img_109.npy,25.79,191.68
img_1090.npy,24.83,203.39
img_1091.npy,25.35,151.29
img_1092.npy,23.77,176.69
img_1093.npy,24.52,180.61
img_1094.npy,26.18,174.86
img_1095.npy,23.83,203.57
img_1096.npy,25.88,173.96
img_1097.npy,23.62,200.90
img_1098.npy,25.20,178.01
img_1099.npy,25.70,154.65
img_11.npy,23.66,199.84
img_110.npy,25.83,173.00
img_1100.npy,24.88,200.84
img_1101.npy,23.58,201.02
img_1102.npy,24.17,174.33
img_1103.npy,24.40,177.38
img_1104.npy,24.50,177.89
img_1105.npy,24.66,193.65
img_1106.npy,24.75,174.82
img_1107.npy,25.37,175.52
img_1108.npy,23.12,200.12
img_1109.npy,25.08,171.29
img_111.npy,24.01,202.78
img_1110.npy,25.07,179.84
img_1111.npy,25.70,196.40
img_1112.npy,23.44,200.94
img_1113.npy,25.36,180.84
img_1114.npy,24.73,203.13
img_1115.npy,24.86,179.61
img_1116.npy,24.63,179.56
img_1117.npy,25.32,189.17
img_1118.npy,23.76,200.90
img_1119.npy,25.18,195.80
img_112.npy,26.32,181.44
img_1120.npy,23.61,200.84
img_1121.npy,24.81,181.47
img_1122.npy,24.92,196.03
img_1123.npy,24.08,170.50
img_1124.npy,26.70,178.79
img_1125.npy,24.02,201.05
img_1126.npy,25.68,179.29
img_1127.npy,23.39,199.50
img_1128.npy,24.36,149.67
img_1129.npy,24.35,194.55
img_113.npy,25.56,178.16
img_1130.npy,25.10,201.94
img_1131.npy,23.73,203.02
img_1132.npy,24.85,166.46
img_1133.npy,25.59,179.55
img_1134.npy,24.58,200.48
img_1135.npy,24.94,200.61
img_1136.npy,24.49,202.22
img_1137.npy,24.46,170.27
img_1138.npy,25.76,177.63
img_1139.npy,23.81,200.18
img_114.npy,25.70,175.67
img_1140.npy,23.79,201.40
img_1141.npy,24.47,177.63
img_1142.npy,23.47,170.50
img_1143.npy,24.08,149.52
img_1144.npy,23.35,171.84
img_1145.npy,23.55,170.69
img_1146.npy,24.38,176.41
img_1147.npy,22.20,201.59
img_1148.npy,23.84,171.78
img_1149.npy,21.88,199.49
img_115.npy,20.94,202.78
img_1150.npy,21.80,179.27
img_1151.npy,21.81,173.19
img_1152.npy,21.52,180.78
img_1153.npy,19.65,202.38
img_1154.npy,22.04,172.54
img_1155.npy,20.97,199.57
img_1156.npy,20.25,203.21
img_1157.npy,20.24,202.37
img_1158.npy,20.24,173.83
img_1159.npy,21.06,177.67
img_116.npy,21.25,172.55
img_1160.npy,21.23,174.48
img_1161.npy,20.93,187.78
img_1162.npy,21.94,174.38
img_1163.npy,20.96,201.88
img_1164.npy,21.17,202.21
img_1165.npy,19.82,202.57
img_1166.npy,20.70,178.89
img_1167.npy,21.89,180.72
img_1168.npy,20.11,202.07
img_1169.npy,20.00,176.05
img_117.npy,19.53,170.38
img_1170.npy,18.89,202.08
img_1171.npy,18.12,203.57
img_1172.npy,17.33,202.45
img_1173.npy,19.11,181.21
img_1174.npy,17.40,200.68
img_1175.npy,17.23,201.39
img_1176.npy,18.75,176.25
img_1177.npy,16.68,199.89
img_1178.npy,18.26,165.39
img_1179.npy,18.97,167.25
img_118.npy,17.93,203.38
img_1180.npy,18.25,201.38
img_1181.npy,17.58,200.48
img_1182.npy,18.87,174.57
img_1183.npy,17.29,201.69
img_1184.npy,18.70,195.59
img_1185.npy,18.56,201.15
img_1186.npy,18.16,201.16
img_1187.npy,17.31,203.20
img_1188.npy,19.23,179.00
img_1189.npy,17.28,202.22
img_119.npy,18.22,174.88
img_1190.npy,17.19,203.14
img_1191.npy,18.82,163.91
img_1192.npy,17.42,201.07
img_1193.npy,18.31,174.73
img_1194.npy,18.09,151.02
img_1195.npy,18.03,192.32
img_1196.npy,17.88,200.42
img_1197.npy,17.10,200.14
img_1198.npy,19.03,174.29
img_1199.npy,15.94,202.11
img_12.npy,16.67,153.27
img_120.npy,17.19,167.18
img_1200.npy,15.29,202.99
img_1201.npy,16.99,181.75
img_1202.npy,17.03,203.11
img_1203.npy,15.24,199.49
img_1204.npy,17.15,167.27
img_1205.npy,16.21,201.09
img_1206.npy,13.38,205.52
img_1207.npy,14.21,177.66
img_1208.npy,14.56,205.59
img_1209.npy,14.70,204.31
img_121.npy,13.87,204.96
img_1210.npy,15.31,174.88
img_1211.npy,13.82,206.71
img_1212.npy,15.44,177.90
img_1213.npy,14.66,204.18
img_1214.npy,14.22,205.72
img_1215.npy,14.61,173.11
img_1216.npy,12.95,205.61
img_1217.npy,13.72,176.53
img_1218.npy,12.63,205.90
img_1219.npy,13.12,179.19
img_122.npy,14.00,179.82
img_1220.npy,14.27,179.33
img_1221.npy,13.03,204.92
img_1222.npy,13.85,179.45
img_1223.npy,14.22,182.12
img_1224.npy,13.07,205.15
img_1225.npy,14.47,171.75
img_1226.npy,12.99,206.51
img_1227.npy,13.51,177.49
img_1228.npy,12.83,205.30
img_1229.npy,13.92,174.55
img_123.npy,13.39,205.04
img_1230.npy,12.92,204.62
img_1231.npy,13.94,171.39
img_1232.npy,12.99,205.30
img_1233.npy,13.92,181.66
img_1234.npy,13.04,204.97
img_1235.npy,13.84,173.84
img_1236.npy,13.97,175.91
img_1237.npy,12.79,204.71
img_1238.npy,14.03,178.27
img_1239.npy,13.31,205.79
img_124.npy,14.38,174.48
img_1240.npy,13.47,204.30
img_1241.npy,14.13,173.89
img_1242.npy,12.37,206.61
img_1243.npy,14.35,181.64
img_1244.npy,12.86,206.29
img_1245.npy,14.34,182.37
img_1246.npy,13.13,205.52
img_1247.npy,14.24,175.33
img_1248.npy,12.74,202.98
img_1249.npy,14.45,177.18
img_125.npy,12.97,203.61
img_1250.npy,13.41,178.04
img_1251.npy,14.07,180.37
img_1252.npy,13.55,205.04
img_1253.npy,13.27,204.87
img_1254.npy,12.61,205.13
img_1255.npy,13.86,178.62
img_1256.npy,14.13,176.12
img_1257.npy,13.66,206.55
img_1258.npy,12.46,206.34
img_1259.npy,13.98,168.16
img_126.npy,12.81,206.23
img_1260.npy,14.16,174.06
img_1261.npy,13.75,205.93
img_1262.npy,13.07,205.03
img_1263.npy,13.77,172.73
img_1264.npy,14.17,177.11
img_1265.npy,13.44,205.36
img_1266.npy,13.22,205.48
img_1267.npy,12.86,204.42
img_1268.npy,14.64,179.44
img_1269.npy,12.68,204.37
img_127.npy,14.36,181.50
img_1270.npy,12.92,204.35
img_1271.npy,12.77,179.95
img_1272.npy,13.08,203.77
img_1273.npy,12.64,206.70
img_1274.npy,13.96,176.08
img_1275.npy,13.24,204.51
img_1276.npy,14.87,177.12
img_1277.npy,12.80,204.15
img_1278.npy,13.57,173.19
img_1279.npy,13.87,179.82
img_128.npy,14.39,178.86
img_1280.npy,13.11,204.64
img_1281.npy,14.06,174.58
img_1282.npy,13.41,205.96
img_1283.npy,13.57,173.37
img_1284.npy,13.51,181.18
img_1285.npy,14.08,177.39
img_1286.npy,12.74,205.68
img_1287.npy,14.33,176.41
img_1288.npy,13.04,203.22
img_1289.npy,14.02,177.75
img_129.npy,12.93,204.96
img_1290.npy,13.96,179.58
img_1291.npy,13.26,203.65
img_1292.npy,12.86,206.08
img_1293.npy,14.41,168.85
img_1294.npy,12.87,205.99
img_1295.npy,14.20,172.79
img_1296.npy,12.75,204.20
img_1297.npy,13.49,179.70
img_1298.npy,13.58,179.05
img_1299.npy,14.02,178.57
img_13.npy,13.13,205.71
img_130.npy,13.89,175.35
img_1300.npy,12.79,204.80
img_1301.npy,13.30,175.16
img_1302.npy,13.43,170.88
img_1303.npy,14.04,173.09
img_1304.npy,13.23,206.50
img_1305.npy,13.10,204.91
img_1306.npy,13.44,202.37
img_1307.npy,13.05,205.88
img_1308.npy,14.32,175.54
img_1309.npy,13.58,205.54
img_131.npy,12.94,204.95
img_1310.npy,13.83,180.53
img_1311.npy,12.74,204.35
img_1312.npy,13.82,174.85
img_1313.npy,12.35,205.84
img_1314.npy,13.87,176.90
img_1315.npy,13.78,206.52
img_1316.npy,12.65,203.68
img_1317.npy,13.07,174.75
img_1318.npy,13.82,173.09
img_1319.npy,13.19,202.91
img_132.npy,14.01,178.41
img_1320.npy,12.94,205.69
img_1321.npy,13.89,181.29
img_1322.npy,12.55,203.54
img_1323.npy,14.49,173.58
img_1324.npy,13.24,205.22
img_1325.npy,13.91,162.15
img_1326.npy,13.11,205.45
img_1327.npy,13.96,180.72
img_1328.npy,12.62,205.48
img_1329.npy,13.74,178.19
img_133.npy,12.71,204.74
img_1330.npy,14.01,171.60
img_1331.npy,13.33,205.06
img_1332.npy,13.04,207.21
img_1333.npy,13.83,178.08
img_1334.npy,13.51,203.75
img_1335.npy,12.95,204.63
img_1336.npy,14.25,167.93
img_1337.npy,12.87,204.46
img_1338.npy,13.58,174.17
img_1339.npy,14.70,177.65
img_134.npy,13.15,203.52
img_1340.npy,13.64,173.66
img_1341.npy,14.23,180.54
img_1342.npy,12.38,205.09
img_1343.npy,13.88,166.63
img_1344.npy,12.74,205.21
img_1345.npy,13.89,147.70
img_1346.npy,13.51,205.91
img_1347.npy,12.60,203.47
img_1348.npy,14.15,176.99
img_1349.npy,12.52,206.31
img_135.npy,13.16,172.68
img_1350.npy,13.77,175.24
img_1351.npy,13.55,176.72
img_1352.npy,14.27,175.43
img_1353.npy,13.37,204.52
img_1354.npy,13.38,204.23
img_1355.npy,12.52,204.06
img_1356.npy,14.20,178.05
img_1357.npy,12.99,206.29
img_1358.npy,13.97,179.44
img_1359.npy,13.48,204.11
img_136.npy,12.61,205.51
img_1360.npy,14.06,171.98
img_1361.npy,13.03,205.01
img_1362.npy,13.97,180.70
img_1363.npy,12.88,205.27
img_1364.npy,14.24,175.93
img_1365.npy,12.74,206.18
img_1366.npy,13.73,179.70
img_1367.npy,13.80,179.91
img_1368.npy,13.65,172.85
img_1369.npy,13.08,206.56
img_137.npy,13.88,179.89
img_1370.npy,13.31,204.84
img_1371.npy,13.68,163.37
img_1372.npy,13.29,180.68
img_1373.npy,14.20,177.24
img_1374.npy,12.80,204.73
img_1375.npy,13.86,170.57
img_1376.npy,13.16,204.47
img_1377.npy,14.14,180.70
img_1378.npy,12.88,206.51
img_1379.npy,14.41,169.71
img_138.npy,12.85,205.89
img_1380.npy,14.02,175.93
img_1381.npy,12.81,203.72
img_1382.npy,14.13,177.66
img_1383.npy,12.86,205.58
img_1384.npy,14.49,177.28
img_1385.npy,13.54,204.72
img_1386.npy,13.00,205.83
img_1387.npy,14.40,180.80
img_1388.npy,12.99,206.48
img_1389.npy,14.46,177.18
img_139.npy,13.38,204.75
img_1390.npy,13.34,205.29
img_1391.npy,12.64,204.91
img_1392.npy,13.54,180.91
img_1393.npy,13.58,179.31
img_1394.npy,14.29,175.49
img_1395.npy,12.64,205.52
img_1396.npy,14.04,176.62
img_1397.npy,12.58,203.21
img_1398.npy,13.95,181.63
img_1399.npy,12.70,206.21
img_14.npy,13.70,180.86
img_140.npy,13.60,174.54
img_1400.npy,12.77,205.41
img_1401.npy,14.46,172.67
img_1402.npy,12.98,204.79
img_1403.npy,14.49,175.04
img_1404.npy,13.25,205.05
img_1405.npy,14.22,153.66
img_1406.npy,12.94,203.66
img_1407.npy,13.40,181.36
img_1408.npy,13.89,150.45
img_1409.npy,12.34,205.36
img_141.npy,14.14,174.44
img_1410.npy,12.95,205.88
img_1411.npy,14.40,181.17
img_1412.npy,13.39,205.27
img_1413.npy,13.01,204.23
img_1414.npy,14.36,174.44
img_1415.npy,12.58,206.33
img_1416.npy,13.98,175.14
img_1417.npy,12.84,204.54
img_1418.npy,14.12,174.46
img_1419.npy,12.90,205.77
img_142.npy,13.34,175.68
img_1420.npy,13.04,206.45
img_1421.npy,14.21,180.48
img_1422.npy,12.89,204.93
img_1423.npy,14.28,176.14
img_1424.npy,13.04,204.74
img_1425.npy,13.72,177.23
img_1426.npy,12.79,205.92
img_1427.npy,13.53,180.32
img_1428.npy,14.02,178.18
img_1429.npy,12.58,205.70
img_143.npy,14.08,174.96
img_1430.npy,13.32,204.16
img_1431.npy,12.91,204.84
img_1432.npy,14.24,181.07
img_1433.npy,12.81,206.62
img_1434.npy,14.09,172.38
img_1435.npy,13.04,205.91
img_1436.npy,13.73,181.19
img_1437.npy,14.40,171.36
img_1438.npy,13.26,204.43
img_1439.npy,13.25,205.23
img_144.npy,13.71,172.80
img_1440.npy,14.06,175.07
img_1441.npy,12.77,203.86
img_1442.npy,13.87,175.54
img_1443.npy,14.14,172.10
img_1444.npy,13.02,204.94
img_1445.npy,13.96,180.08
img_1446.npy,13.20,205.59
img_1447.npy,14.13,175.22
img_1448.npy,13.10,204.30
img_1449.npy,14.07,172.95
img_145.npy,13.17,204.68
img_1450.npy,13.80,170.61
img_1451.npy,13.86,174.68
img_1452.npy,12.72,205.84
img_1453.npy,13.81,180.24
img_1454.npy,13.63,181.46
img_1455.npy,13.61,178.57
img_1456.npy,13.62,170.86
img_1457.npy,14.16,175.41
img_1458.npy,12.68,205.96
img_1459.npy,13.76,171.14
img_146.npy,13.50,204.37
img_1460.npy,12.75,204.68
img_1461.npy,13.60,180.85
img_1462.npy,13.30,175.94
img_1463.npy,14.10,181.56
img_1464.npy,13.44,203.89
img_1465.npy,13.18,205.22
img_1466.npy,14.16,175.21
img_1467.npy,13.01,203.52
img_1468.npy,14.55,175.08
img_1469.npy,12.84,205.71
img_147.npy,14.09,178.16
img_1470.npy,12.91,203.77
img_1471.npy,13.71,177.85
img_1472.npy,13.46,204.15
img_1473.npy,14.37,172.03
img_1474.npy,12.78,205.74
img_1475.npy,13.59,171.94
img_1476.npy,14.03,175.11
img_1477.npy,12.94,205.55
img_1478.npy,13.45,178.24
img_1479.npy,13.73,177.21
img_148.npy,14.12,173.23
img_1480.npy,13.45,205.89
img_1481.npy,12.75,206.04
img_1482.npy,13.92,172.26
img_1483.npy,13.17,205.20
img_1484.npy,13.83,178.08
img_1485.npy,12.81,205.93
img_1486.npy,14.22,171.28
img_1487.npy,12.95,205.79
img_1488.npy,13.87,175.67
img_1489.npy,12.25,203.69
img_149.npy,13.50,168.12
img_1490.npy,12.86,205.22
img_1491.npy,13.88,174.60
img_1492.npy,13.70,206.10
img_1493.npy,12.97,205.32
img_1494.npy,13.81,179.40
img_1495.npy,13.09,204.70
img_1496.npy,13.74,175.44
img_1497.npy,13.50,174.66
img_1498.npy,13.44,178.02
img_1499.npy,14.32,179.69
img_15.npy,13.22,204.14
img_150.npy,13.58,205.34
img_1500.npy,13.19,203.05
img_1501.npy,12.97,205.74
img_1502.npy,14.04,175.16
img_1503.npy,14.42,180.59
img_1504.npy,12.86,205.22
img_1505.npy,14.37,181.81
img_1506.npy,12.56,202.84
img_1507.npy,13.97,180.69
img_1508.npy,13.39,206.14
img_1509.npy,13.87,175.39
img_151.npy,13.14,204.97
img_1510.npy,12.79,205.42
img_1511.npy,14.30,180.41
img_1512.npy,13.34,203.25
img_1513.npy,14.11,173.85
img_1514.npy,12.95,203.63
img_1515.npy,14.53,169.95
img_1516.npy,13.02,205.27
img_1517.npy,14.09,169.43
img_1518.npy,13.33,204.87
img_1519.npy,14.24,172.97
img_152.npy,13.44,204.63
img_1520.npy,12.77,205.59
img_1521.npy,14.14,175.22
