filename,time_s,peak_memory_mb
img_0.npy,5.87,3701.82
img_1.npy,4.51,3322.11
img_10.npy,4.40,3325.36
img_11.npy,34.93,5249.83
img_12.npy,15.22,6998.25
img_13.npy,1.95,884.40
img_14.npy,4.39,3325.21
img_15.npy,4.42,3322.36
img_16.npy,4.56,3329.88
img_17.npy,4.57,3324.15
img_18.npy,4.42,3322.52
img_19.npy,4.58,3322.88
img_2.npy,4.42,3322.25
img_20.npy,4.47,3323.05
img_21.npy,18.56,5058.66
img_22.npy,2.09,877.27
img_23.npy,4.51,3326.14
img_24.npy,38.96,5204.26
img_25.npy,41.26,12485.04
img_26.npy,4.38,3325.47
img_27.npy,4.44,3323.21
img_28.npy,4.60,3332.68
img_29.npy,4.45,3324.60
img_3.npy,4.60,3324.01
img_4.npy,4.58,3323.94
img_5.npy,2.13,949.52
img_6.npy,62.90,6747.50
img_7.npy,5.77,3714.06
img_8.npy,4.51,3322.70
img_9.npy,15.91,6999.20
