filename,time_s,peak_memory_mb
img_0.npy,2.06,189.60
img_1.npy,1.88,162.29
img_10.npy,1.99,128.17
img_100.npy,2.13,161.00
img_1000.npy,1.85,190.64
img_10000.npy,2.07,190.57
img_10001.npy,1.97,193.38
img_10002.npy,1.89,192.10
img_10003.npy,1.87,191.11
img_10004.npy,1.88,193.27
img_10005.npy,1.89,189.61
img_10006.npy,1.92,189.40
img_10007.npy,1.74,189.73
img_10008.npy,1.92,184.13
img_10009.npy,2.18,164.38
img_1001.npy,1.80,191.60
img_10010.npy,1.89,191.95
img_10011.npy,1.91,190.74
img_10012.npy,1.94,191.51
img_10013.npy,1.85,193.25
img_10014.npy,2.01,190.71
img_10015.npy,1.93,190.97
img_10016.npy,1.90,192.91
img_10017.npy,1.80,190.76
img_10018.npy,1.87,193.03
img_10019.npy,1.84,191.56
img_1002.npy,1.73,190.39
img_10020.npy,1.75,193.18
img_10021.npy,1.92,190.99
img_10022.npy,1.86,191.09
img_10023.npy,1.77,192.39
img_10024.npy,1.91,192.30
img_10025.npy,1.96,190.08
img_10026.npy,1.85,192.32
img_10027.npy,1.80,167.19
img_10028.npy,1.87,171.79
img_10029.npy,2.12,123.34
img_1003.npy,2.04,127.37
img_10030.npy,2.01,150.86
img_10031.npy,1.89,122.76
img_10032.npy,1.86,124.09
img_10033.npy,1.83,123.40
img_10034.npy,1.90,121.02
img_10035.npy,1.90,121.13
img_10036.npy,1.88,133.54
img_10037.npy,1.85,167.37
img_10038.npy,2.08,142.98
img_10039.npy,1.79,191.15
img_1004.npy,2.03,176.43
img_10040.npy,1.94,190.95
img_10041.npy,1.92,192.11
img_10042.npy,1.88,173.89
img_10043.npy,1.89,152.22
img_10044.npy,1.96,173.31
img_10045.npy,1.91,186.28
img_10046.npy,1.72,190.69
img_10047.npy,1.81,190.90
img_10048.npy,2.04,191.60
img_10049.npy,2.02,191.22
img_1005.npy,1.86,192.43
img_10050.npy,1.98,193.20
img_10051.npy,1.96,192.45
img_10052.npy,1.97,190.66
img_10053.npy,1.95,187.43
img_10054.npy,1.92,177.38
img_10055.npy,1.99,191.04
img_10056.npy,1.84,190.96
img_10057.npy,1.98,192.27
img_10058.npy,1.91,190.71
img_10059.npy,1.71,191.73
img_1006.npy,1.74,190.14
img_10060.npy,1.81,191.02
img_10061.npy,1.94,190.65
img_10062.npy,1.85,186.92
img_10063.npy,1.81,124.76
img_10064.npy,2.02,124.16
img_10065.npy,1.98,179.68
img_10066.npy,1.70,172.90
img_10067.npy,1.89,126.12
img_10068.npy,1.92,138.43
img_10069.npy,1.81,140.61
img_1007.npy,1.86,136.89
img_10070.npy,1.79,131.59
img_10071.npy,1.86,146.50
img_10072.npy,2.07,125.94
img_10073.npy,1.68,192.46
img_10074.npy,1.83,191.75
img_10075.npy,1.89,189.95
img_10076.npy,1.83,192.77
img_10077.npy,1.89,193.62
img_10078.npy,1.95,180.36
img_10079.npy,1.90,180.62
img_1008.npy,1.92,127.54
img_10080.npy,1.99,137.47
img_10081.npy,2.02,191.95
img_10082.npy,2.00,191.93
img_10083.npy,1.99,192.48
img_10084.npy,1.95,190.52
img_10085.npy,1.89,190.62
img_10086.npy,1.89,193.39
img_10087.npy,1.85,190.76
img_10088.npy,1.90,189.97
img_10089.npy,1.86,191.98
img_1009.npy,1.90,189.86
img_10090.npy,1.91,184.44
img_10091.npy,1.97,171.55
img_10092.npy,1.97,190.94
img_10093.npy,1.92,191.14
img_10094.npy,1.93,188.35
img_10095.npy,1.99,188.00
img_10096.npy,1.80,168.61
img_10097.npy,1.96,129.65
img_10098.npy,2.06,164.11
img_10099.npy,2.04,191.36
img_101.npy,2.00,190.99
img_1010.npy,1.87,190.14
img_10100.npy,1.82,192.28
img_10101.npy,1.76,191.84
img_10102.npy,1.79,192.22
img_10103.npy,1.71,191.29
img_10104.npy,1.95,167.68
img_10105.npy,1.90,181.32
img_10106.npy,2.12,167.60
img_10107.npy,1.79,170.56
img_10108.npy,1.85,127.74
img_10109.npy,2.02,171.08
img_1011.npy,1.83,190.23
img_10110.npy,1.90,190.97
img_10111.npy,1.87,191.08
img_10112.npy,1.83,192.52
img_10113.npy,1.81,191.10
img_10114.npy,1.75,193.48
img_10115.npy,1.94,172.25
img_10116.npy,1.87,193.33
img_10117.npy,1.87,192.48
img_10118.npy,1.76,190.72
img_10119.npy,1.68,124.66
img_1012.npy,1.82,124.90
img_10120.npy,1.89,126.07
img_10121.npy,1.77,124.77
img_10122.npy,1.81,124.34
img_10123.npy,1.88,130.05
img_10124.npy,1.96,129.74
img_10125.npy,1.85,127.90
img_10126.npy,1.91,127.05
img_10127.npy,1.83,126.07
img_10128.npy,1.78,124.03
img_10129.npy,1.80,124.03
img_1013.npy,1.81,125.50
img_10130.npy,1.79,126.27
img_10131.npy,1.78,126.86
img_10132.npy,1.84,123.34
img_10133.npy,1.96,124.61
img_10134.npy,2.00,193.01
img_10135.npy,2.08,191.87
img_10136.npy,1.94,190.50
img_10137.npy,1.91,193.12
img_10138.npy,1.84,191.81
img_10139.npy,1.75,192.76
img_1014.npy,1.70,188.20
img_10140.npy,1.77,123.44
img_10141.npy,1.78,126.68
img_10142.npy,1.82,127.05
img_10143.npy,1.92,128.70
img_10144.npy,1.94,125.77
img_10145.npy,1.83,156.99
img_10146.npy,1.88,177.24
img_10147.npy,1.83,175.35
img_10148.npy,2.04,171.39
img_10149.npy,1.81,170.72
img_1015.npy,1.77,127.64
img_10150.npy,1.98,126.49
img_10151.npy,1.99,125.25
img_10152.npy,1.78,126.57
img_10153.npy,1.90,124.35
img_10154.npy,1.82,150.48
img_10155.npy,2.14,175.69
img_10156.npy,2.05,190.98
img_10157.npy,2.09,191.02
img_10158.npy,1.87,190.97
img_10159.npy,1.72,181.75
img_1016.npy,1.78,125.12
img_10160.npy,1.83,121.41
